Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
Selway Capital Acquisition,SWCAU,Aegis Capital/ Chardan Capital Markets,11-8-11,$10.00,$9.95,$10.00,-0.50%
Imperva,IMPV,J.P. Morgan/ Deutsche Bank Securities,11-9-11,$18.00,$24.00,$23.00,33.33%
Chesapeake Granite Wash Trust,CHKR,Morgan Stanley/ Raymond James,11-11-11,$19.00,$18.87,$19.00,-0.68%
"LRR Energy, L.P.",LRE,Wells Fargo Securities,11-11-11,$19.00,$19.05,$19.00,0.26%
NewLink Genetics,NLNK,Stifel Nicolaus Weisel/ Canaccord Genuity,11-11-11,$7.00,$7.08,$7.00,1.14%
Clovis Oncology,CLVS,J.P. Morgan/ Credit Suisse,11-16-11,$13.00,$12.56,$13.05,-3.38%
InvenSense,INVN,Goldman Sachs/Morgan Stanley,11-16-11,$7.50,$8.90,$8.30,18.67%
Angie’s List,ANGI,BofA Merrill Lynch,11-17-11,$13.00,$16.28,$18.00,25.23%
Delphi Automotive PLC,DLPH,"Goldman, Sachs/ J.P. Morgan",11-17-11,$22.00,$21.33,$21.50,-3.05%
Digital Domain Media Group,DDMG,Roth Capital Partners,11-18-11,$8.50,$7.15,$8.50,-15.88%
Intermolecular,IMI,Morgan Stanley/ J.P. Morgan/ Barclays Capital,11-18-11,$10.00,$9.50,$10.00,-5.00%
Manning & Napier,MN,BofA Merrill Lynch,11-18-11,$12.00,$12.00,$12.00,0.00%
Mattress Firm Holding,MFRM,Barclays Capital/ UBS Investment Bank/ William Blair & Company,11-18-11,$19.00,$22.00,$22.00,15.79%
BlackRock Utility & Infrastructure Trust (BUI),BUI,Morgan Stanley/ Citigroup/ BofA Merrill Lynch/ UBS Investment Bank/ Wells Fargo Securities/ Ameriprise Financial Services/ RBC Capital Markets,11-23-11,$20.00,$20.00,$20.00,0.00%
Vanguard Energy,VNGEU,Paulson Investment,12-2-11,$1.00,$1.15,$1.15,15.00%
Memorial Production Partners LP,MEMP,Citigroup/ Raymond James/ Wells Fargo Securities,12-9-11,$19.00,$19.79,$18.82,4.16%
"Rose Rock Midstream, L.P.",RRMS,Barclays Capital/ Citigroup/ Deutsche Bank Securities,12-9-11,$20.00,$20.00,$20.50,0.00%
Jive Software,JIVE,"Morgan Stanley/ Goldman, Sachs",12-13-11,$12.00,$15.05,$15.12,25.42%
Sanchez Energy,SN,Johnson Rice & Company/ Macquarie Capital,12-14-11,$22.00,$18.25,$20.00,-17.05%
Bonanza Creek Energy,BCEI,Morgan Stanley/ Credit Suisse,12-15-11,$17.00,$13.61,$15.50,-19.94%
Laredo Petroleum Holdings,LPI,J.P. Morgan,12-15-11,$17.00,$18.10,$17.25,6.47%
Michael Kors Holdings,KORS,"Morgan Stanley/ J.P. Morgan/ Goldman, Sachs & Co.",12-15-11,$20.00,$24.20,$25.00,21.00%
"Mid-Con Energy Partners, LP",MCEP,RBC Capital Markets,12-15-11,$18.00,$18.05,$17.72,0.28%
"Inergy Midstream, L.P.",NRGM,Morgan Stanley/ Barclays Capital/ BofA Merrill Lynch/ Credit Suisse/ Wells Fargo Securities,12-16-11,$17.00,$17.65,$17.00,3.82%
Zynga,ZNGA,"Morgan Stanley/ Goldman, Sachs",12-16-11,$10.00,$9.50,$11.00,-5.00%
Cellu Tissue Holdings,CLU,Goldman Sachs/J.P. Morgan/BofA Merrill Lynch,1-22-10,$13.00,$11.90,$12.30,-8.46%
Chesapeake Lodging Trust,CHSP,J.P. Morgan/Dutsche Bank/FBR,1-22-10,$20.00,$19.00,$19.25,-5.00%
Symetra Financial,SYA,BofA/JP Morgan/Goldman Sachs/Barclays Capital,1-22-10,$12.00,$12.75,$12.70,6.25%
Andatee China Marine Fuel Services,AMCF,Rodman Renshaw/Newbridge,1-26-10,$6.30,$5.77,$6.30,-8.41%
IFM Investments Limited,CTC,Goldman Sachs/Morgan Stanley,1-28-10,$7.00,$7.30,$7.15,4.29%
China Electric Motor,CELM,Roth Capital/West Park Capital,1-29-10,$4.50,$4.45,$4.70,-1.11%
Ironwood Pharmaceutical,IRWD,J.P.Morgan/Morgan Stanley/Credit Suisse,2-3-10,$11.25,$11.65,$11.31,3.56%
Solar Capital,SLRC,Citi/J.P. Morgan/Morgan Stanley/Sun Trust,2-9-10,$18.75,$18.00,$17.80,-4.00%
Piedmont Office Trust Realty,PDM,Morgan Stanley/J.P. Morgan,2-10-10,$14.50,$15.60,$14.75,7.59%
Terreno Realty,TRNO,Goldman Sachs,2-10-10,$20.00,$18.65,$18.75,-6.75%
Generac Holdings,GNRC,J.P. Morgan/Goldman Sachs,2-11-10,$13.00,$12.84,$13.00,-1.23%
Graham Packaging,GRM,Citi/Goldman Sachs/Deutsche Bank,2-11-10,$10.00,$10.20,$10.00,2.00%
QuinStreet,QNST,Credit Suisse/BofA Merrill Lynch/J.P. Morgan,2-11-10,$15.00,$15.00,$15.10,0.00%
Sprott Physical Gold Trust,PHYS,Morgan Stanley/RBC,2-26-10,$10.00,$9.59,$9.65,-4.10%
Anthera Phamaceuticals,ANTH,Deutsche Bank,3-1-10,$7.00,$7.01,$7.00,0.14%
Baltic Trading Limited,BALT,Morgan Stanley/Dahlman Rose,3-10-10,$14.00,$13.96,$14.00,-0.29%
Sensata Technologies,ST,Morgan Stanley/Barclays Capital/Goldman Sachs,3-11-10,$18.00,$18.50,$18.00,2.78%
AVEO Pharmaceuticals,AVEO,J.P. Morgan/Morgan Stanley,3-12-10,$9.00,$9.00,$8.25,0.00%
Crude Carriers,CRU,UBS Investment Bank/BofA Merrill Lynch/Wells Fargo Securities,3-12-10,$19.00,$19.00,$19.00,0.00%
Financial Engines,FNGN,Goldman Sachs,3-16-10,$12.00,$17.25,$14.95,43.75%
Calix Networks,CALX,Goldman Sachs/Morgan Stanley,3-24-10,$13.00,$15.10,$17.00,16.15%
First Interstate BancSystem,FIBK,Barclays Capital,3-24-10,$14.50,$15.70,$15.98,8.28%
MaxLinear,MXL,Morgan Stanley/Deutsche Bank,3-24-10,$13.00,$18.70,$17.00,43.85%
China Lodging Group,HTHT,Goldman Sachs/Morgan Stanley,3-26-10,$12.25,$13.92,$13.50,13.63%
Scorpio Tankers,STNG,Morgan Stanley/ Dahlman Rose,3-31-10,$13.00,$12.56,$12.90,-3.38%
SS&C Technologies Holdings,SSNC,J.P. Morgan,3-31-10,$15.00,$15.08,$16.00,0.53%
Meru Networks,MERU,BofA Merrill Lynch,3-31-10,$15.00,$19.17,$20.00,27.80%
Primaerica,PRI,Citi,4-1-10,$15.00,$19.65,$19.15,31.00%
Metals USA Holdings,MUSA,Goldman Sachs,4-9-10,$21.00,$19.20,$20.50,-8.57%
Tengion,TNGN,Piper Jaffray/Leerink Swann,4-9-10,$5.00,$5.02,$5.00,0.40%
Chatham Lodging Trust,CLDT,Barclays Capital,4-16-10,$20.00,$20.50,$20.25,2.50%
Codexis,CDXS,Credit Suisse/Goldman Sachs,4-22-10,$13.00,$13.26,$13.00,2.00%
DynaVox,DVOX,Piper Jaffray/Jefferies,4-22-10,$15.00,$15.00,$15.00,0.00%
Alimera Sciences,ALIM,Credit Suisse/Citi,4-22-10,$11.00,$11.00,$11.00,0.00%
Global Geophysical Services,GGS,Credit Suisse/Barclays Capital,4-22-10,$12.26,$12.00,$12.00,-2.12%
Mitel Networks,MITL,BofA Merrill Lynch/J.P. Morgan/UBS Investment Bank,4-22-10,$14.00,$12.30,$12.75,-12.14%
SPS Commerce,SPSC,Thomas Weisel Partners,4-22-10,$12.00,$13.60,$14.00,13.33%
Excel Trust,EXL,Morgan Stanley/Barclays Capital/UBS Investment Trust,4-23-10,$14.00,$13.30,$13.25,-5.00%
Alpha and Omega Semiconductor,AOSL,Deutsche Bank/Piper Jaffray,4-29-10,$18.00,$17.70,$18.11,-1.67%
Convio,CNVO,Thomas Weisel Partners/ Piper Jaffray,4-29-10,$9.00,$10.24,$10.00,13.78%
PAA Natural Gas Storage,PNG,Barclays Capital/ UBS Investment Bank,4-30-10,$21.50,$23.25,$22.50,8.14%
S&W Seed,SANWU,Paulson Investment/Feltl,5-3-10,$11.00,$10.70,$10.89,-2.73%
Charm Communications,CHRM,Credit Suisse,5-5-10,$9.50,$9.40,$9.51,-1.05%
Douglas Dynamics,PLOW,Credit Suisse/ Oppenheimer,5-5-10,$11.25,$11.29,$22.26,0.36%
Niska Gas Storage,NKA,Goldman Sachs/Morgan Stanley,5-12-10,$20.50,$19.10,$19.50,-6.83%
Express,EXPR,BofA Merrill Lynch/Goldman Sachs,5-13-10,$17.00,$16.75,$17.05,-1.47%
Roadrunner Transportation Services Holdings,RRTS,Baird/ BB&T Capital Markets/ Stifel Nicolaus,5-13-10,$14.00,$13.75,$14.00,-1.79%
TeleNav,TNAV,J.P. Morgan/Deutsche Bank,5-13-10,$8.00,$9.80,$9.00,22.50%
JinkoSolar Holding,JKS,Credit Suisse,5-14-10,$11.00,$11.01,$11.00,0.09%
Kingtone Wireless Soultion,KONE,Roth Capital Partners,5-14-10,$4.00,$3.94,$4.00,-1.50%
Noranda Aluminum Holding,NOR,BofA Merrill Lynch,5-14-10,$8.00,$8.80,$8.30,10.00%
57th Street Acquisiton,SQTC.U,Morgan Joseph/Ladenburg Thalmann,5-20-10,$10.00,$10.00,$10.00,0.00%
Accretive Health,AH,Goldman Sachs/Credit Suisse,5-20-10,$12.00,$12.74,$12.00,6.17%
ReachLocal,RLOC,J.P. Morgan/BofA Merrill Lynch,5-20-10,$13.00,$12.66,$13.00,-2.62%
GenMark Diagnostics,GNMK,Piper Jaffray,5-28-10,$6.00,$6.00,$6.00,0.00%
China New Borun,BOR N,Piper Jaffray,6-11-10,$7.00,$7.00,$7.00,0.00%
CBOE Holdings,CBOE,Goldman Sachs,6-15-10,$29.00,$32.49,$32.80,12.03%
BroadSoft,BSFT,Goldman Sachs/Jefferies,6-16-10,$9.00,$8.30,$8.25,-7.78%
Higher One Holdings,ONE,Goldman Sachs,6-17-10,$12.00,$14.27,$13.50,18.92%
Oasis Petroleum,OAS,Morgan Stanley/UBS Investment Bank,6-17-10,$14.00,$14.88,$14.85,6.29%
China Intelligent Lighting & Electronics,CIL,Rodman & Renshaw.WestPark Capital,6-18-10,$3.00,$2.95,$2.85,-1.67%
Motricity,MOTR,J.P. Morgan/Golldman Sachs,6-18-10,$10.00,$9.26,$9.89,-7.40%
Hudson Pacific Properties,HPP,BofA Merrill Lych/Barclays Capital/Morgan Stanley,6-24-10,$17.00,$17.40,$17.50,2.35%
Fabrinet,FN,Morgan Stanley/Deutsche Bank,6-25-10,$10.00,$10.75,$10.95,7.50%
Tesla Motors,TSLA,"Goldman, Sachs/ Morgan Stanley/ J.P. Morgan/ Deutsche Bank Securities",6-29-10,$17.00,$23.98,$19.00,41.06%
HiSoft Technology International,HSFT,Deutsche Bank,6-30-10,$10.00,$10.40,$10.27,4.00%
AutoNavi Holdings,AMAP,Goldman Sachs,7-1-10,$12.50,$13.50,$13.02,8.00%
Oxford Resources Parntners L.P.,OXF,Barclays Capital/Citi,7-14-10,$18.50,$17.96,$18.25,-2.92%
SMART Technologies,SMT,Morgan Stanley/ Deutsche Bank Securities/ RBC Capital Markets/ BofA Merrill Lynch/ Credit Suisse,7-15-10,$17.00,$17.05,$17.50,0.29%
Qlink Technologies,QLIK,Morgan Stanley/Citi/J.P. Morgan,7-16-10,$10.00,$12.80,$12.00,28.00%
RealD,RLD,J.P. Morgan/Piper Jaffrey,7-16-10,$16.00,$19.51,$19.55,21.94%
Camelot Information Systems,CIS,Goldman Sachs/Barclays Capital,7-20-10,$11.00,$10.65,$10.01,-3.18%
Ameresco,AMRC,BofA Merril Lynch,7-22-10,$10.00,$10.17,$10.33,1.70%
Green Dot,GDOT,J.P. Morgan/Morgan Stanlry,7-22-10,$36.00,$43.99,$42.10,22.19%
Chesapeake Midstream Partners,CHKM,Citi/Morgan Stanley,7-29-10,$21.00,$22.40,$22.25,6.67%
Envestnet,ENV,Morgan Stanley/UBS Investment Bank/Barclays Capital,7-29-10,$9.00,$10.23,$9.35,13.67%
Molycorp,MCP,Morgan Stanley/J.P. Morgan,7-29-10,$14.00,$12.85,$13.25,-8.21%
Trius Therapeutics,TSRX,Credit Suisse/Piper Jaffray,8-3-10,$5.00,$5.00,$5.10,0.00%
Ambow Education Holding,AMBO,J.P. Morgan/ Goldman Sachs (Asia),8-5-10,$10.00,$9.25,$10.04,-7.50%
Gordmans Stores,GMAD,Piper Jaffray/Wells Fargo Securities,8-5-10,$11.00,$11.03,$11.00,0.27%
Intralink Holdings,IL,Morgan Stanley/Deutsche Bank/Credit Suisse,8-6-10,$13.00,$9.61,$10.00,-26.08%
NuPathe,PATH,Leerink Swann/Lazard Capital Markets,8-6-10,$10.00,$9.25,$10.04,-7.50%
NXP Semiconductors NV,NXPI,Credit Suisse/Goldman Sachs/Morgan Stanley,8-6-10,$14.00,$11.03,$11.00,-21.21%
China Kanghui Holdings,KH,Morgan Stanley/ Piper Jaffray,8-11-10,$10.25,$12.16,$10.29,18.63%
MediaMind Technologies,MDMD,J.P. Morgan/Deutsche Bank,8-11-10,$11.50,$11.00,$10.50,-4.35%
MakeMyTrip Limited,MMYT,Morgan Stanley,8-12-10,$14.00,$26.45,$22.00,88.93%
RealPage,RP,Credit Suisse/ Deutsche Bank Securities,8-12-10,$11.00,$14.52,$13.00,32.00%
Electromed,ELMD,Feltl and Company,8-13-10,$4.00,$3.98,$4.05,-0.50%
Whitestone REIT,WSR,Wunderlich/Ladenburg Thalmann,8-26-10,$12.00,$11.50,$12.00,-4.17%
SouFun Holdings Limited,SFUN,Deutsche Bank Securities/ Goldman Sachs (Asia) L.L.C,9-17-10,$42.50,$73.50,$67.00,72.94%
CoreSite Realty,COR,Citi/BofA Merrill Lynch/RBC Capital Markets,9-23-10,$16.00,$16.01,$16.00,0.06%
SciQuest,SQI,Stifel Nicolaus Weisel,9-24-10,$9.50,$12.27,$11.50,29.16%
Amyris,AMRS,Morgan Stanley/Goldman Sachs/J.P. Morgan,9-28-10,$16.00,$16.50,$16.50,3.13%
Country Style Cooking Restaurant Chain,CCSC,BofA Merrill Lynch/ Credit Suisse,9-28-10,$16.50,$24.30,$25.00,47.27%
Elster Group,ELT,Deutsche Bank Securities,9-30-10,$13.00,$13.75,$13.00,5.77%
Rhino Resources Partners,RNO,Raymond James,9-30-10,$20.50,$21.10,$20.50,2.93%
China Ming Yang Wind Power Group,MY,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,10-1-10,$14.00,$13.25,$14.15,-5.36%
ChinaCache International Holdings,CCIH,BofA Merrill Lynch/ Deutsche Bank Securities,10-1-10,$13.90,$27.15,$27.00,95.32%
The KEYW Holding,KEYW,SunTrust Robinson Humphrey,10-1-10,$10.00,$11.38,$10.30,13.80%
Daqo New Energy,DQ,Morgan Stanley,10-7-10,$9.50,$10.25,$9.98,7.89%
Cazador Acquisition Corporation,CAZAU,Rodman & Renshaw,10-8-10,$10.00,$10.00,$10.00,0.00%
Ellington Financial LLC,EFC,Deutsche Bank Securities,10-8-10,$22.50,$21.75,$21.50,-3.33%
Global Education & Technology Group,GEDU,Credit Suisse/ BofA Merrill Lynch,10-8-10,$10.50,$12.20,$12.00,16.19%
Hicks Acquisition Company 11,HKACU,Citi/Deutsche Bank,10-12-10,$10.00,$10.00,$10.00,0.00%
Campus Crest Communities,CCG,"Raymond James/ Citi/ Goldman, Sachs/ Barclay Capital/ RBC Capital Markets",10-14-10,$12.50,$12.51,$12.50,0.08%
Body Central,BODY,Piper Jaffray/ Jefferies & Company,10-15-10,$13.00,$13.00,$14.49,0.00%
Tower International,TOWR,Goldman Sachs/Citi/J.P. Morgan,10-15-10,$13.00,$13.00,$13.55,0.00%
NetSpend Holdings,NTSP,"Goldman, Sachs/ BofA Merrill Lynch/ William Blair",10-19-10,$11.00,$13.00,$13.00,18.18%
ShangPharma,SHP,Citi/ J.P. Morgan,10-19-10,$15.00,$12.75,$15.00,-15.00%
TAL Education Group,XRS,Credit Suisse/ Morgan Stanley,10-20-10,$10.00,$15.00,$14.00,50.00%
Bravo Brio Restaurant Group,BBRG,Jefferies & Company/ Piper Jaffray/ Wells Fargo Securities,10-21-10,$14.00,$15.90,$14.50,13.57%
Vera Bradley,VRA,Baird/ Piper Jaffray,10-21-10,$16.00,$24.85,$23.00,55.31%
Aegerion Pharmaceuticals,AEGR,Leerink Swann/ Lazard Capital Markets,10-22-10,$9.50,$10.80,$10.00,13.68%
Mecox Lane Limited,MCOX,Credit Suisse/ UBS Investment Bank,10-26-10,$11.00,$17.26,$17.50,56.91%
Pacific Biosciences of California,PACB,J.P.Morgan/ Morgan Stanley,10-27-10,$16.00,$16.44,$16.50,2.75%
ExamWorks Group,EXAM,"Goldman, Sachs & Co./ Credit Suisse",10-28-10,$16.00,$16.80,$16.75,5.00%
SeaCube Container Leasing,BOX,J.P. Morgan/ Citi/ Deutsche Bank Securities/ Wells Fargo Securities,10-28-10,$10.00,$11.00,$11.00,10.00%
Le Gaga Holdings Limited,GAGA,BofA Merrill Lynch/ UBS Investment Bank,10-29-10,$9.50,$11.26,$9.06,18.53%
Xueda Education Group,XUE,Goldman Sachs (Asia) L.L.C.,11-2-10,$9.50,$12.50,$14.30,31.58%
SinoTech Energy Limited,CTE,Citi/ UBS Investment Bank/ Deutsche Bank Securities,11-3-10,$8.50,$6.86,$8.50,-19.29%
SodaStream International Ltd.,SODA,J.P. Morgan/ Deutsche Bank Securities,11-3-10,$20.00,$24.12,$24.75,20.60%
Costamare,CMRE,Morgan Stanley/ BofA Merrill Lynch,11-4-10,$12.00,$11.85,$12.02,-1.25%
Primo Water,PRMW,Stifel Nicolaus Weisel,11-5-10,$12.00,$12.95,$14.86,7.92%
The Fresh Market,TFM,BofA Merrill Lynch/J.P. Morgan/Goldman Sachs,11-5-10,$22.00,$32.11,$34.00,45.95%
Noah Holdings Limited,NOAH,J.P. Morgan/ BofA Merrill Lynch,11-10-10,$12.00,$15.99,$15.00,33.25%
RDA Microelectronics,RDA,Morgan Stanley/ Credit Suisse,11-10-10,$9.00,$10.75,$10.11,19.44%
Complete Genomics,GNOM,UBS Investment Bank/ Jefferies & Company,11-11-10,$9.00,$8.03,$8.50,-10.78%
Inph,IPHI,Morgan Stanley.Deutsche Bank/Jefferies,11-11-10,$12.00,$15.30,$15.13,27.50%
Bitauto Holdings Limited,BITA,Citi/ UBS Investment Bank,11-17-10,$12.00,$12.45,$12.00,3.75%
Booz Allen & Hamilton,BAH,Morgan Stanley/ Barclays Capital/ BofA Merrill Lynch Credit Suisse,11-17-10,$17.00,$19.25,$17.26,13.24%
General Motors Company,GM,Morgan Stanley/ J.P. Morgan/ BofA Merrill Lynch/ Citi,11-18-10,$33.00,$34.19,$35.00,3.61%
LPL investmens,LPLA,Goldman Sachs/Morgan Stanley,11-18-10,$30.00,$32.15,$33.05,7.17%
Aeroflex Holdings,ARX,"Goldman, Sachs/ Credit Suisse/ J.P. Morgan/ Morgan Stanley",11-19-10,$13.50,$12.67,$12.67,-6.15%
