Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
Lizhan Environmental,LZEN,Maxim Group LLC,11-19-10,$4.00,$4.01,$4.00,0.25%
China Xiniya Fashion Limited,XNY,Cowen,11-23-10,$11.00,$9.95,$11.00,-9.55%
Zogenix,ZGNX,Wells Fargo Securities/ Leerink Swann,11-23-10,$4.00,$3.98,$5.00,-0.50%
Anacor Pharmaceuticals,ANAC,Citi/ Deutsche Bank Securities,11-24-10,$5.00,$5.09,$5.00,1.80%
L&L Acquisition,LLACQU,Morgan Joseph,11-24-10,$10.00,$10.00,$10.00,0.00%
SYSWIN,SYSW,Morgan Stanley,11-24-10,$7.00,$6.20,$7.00,-11.43%
FXCM,FXCM,Credit Suisse/ J.P. Morgan/ Citi,12-2-10,$14.00,$14.85,$15.00,6.07%
Targa Resources Investments,TRGP,Barclays Capital,12-7-10,$22.00,$24.70,$24.10,12.27%
CTPartners Executive Search,CTP,William Blair & Company/ C.L. King & Associates,12-8-10,$13.00,$13.00,$13.00,0.00%
E-Commerce China Dangdang,DANG,Credit Suisse/ Morgan Stanley,12-8-10,$16.00,$29.91,$24.50,86.94%
Youku.com,YOKU,Goldman Sachs (Asia),12-8-10,$12.80,$27.00,$27.00,110.94%
Bona Film Group Limited,BONA,BofA Merrill Lynch/ J.P. Morgan,12-9-10,$8.50,$6.60,$8.50,-22.35%
First Republic Bank,FRC,BofA Merrill Lynch/ Morgan Stanley/ J.P. Morgan,12-9-10,$25.50,$27.92,$27.25,9.49%
SemiLeds,LEDS,BofA Merrill Lynch/ Barclays Capital/ Jefferies,12-9-10,$17.00,$25.76,$23.14,51.53%
FlatWorld Acquisition,FTWAU,Rodman & Renshaw/ EarlyBirdCapital,12-10-10,$10.00,$10.01,$10.00,0.10%
Lentuo International,LAS,Cowen/ HSBC,12-10-10,$8.00,$8.38,$8.50,4.75%
Sky-mobi Limited,MOBI,Citi,12-10-10,$8.00,$6.00,$6.00,-25.00%
iSoftStone Holdings Limited,ISS,UBS Investment Bank/ J.P. Morgan/ Morgan Stanley,12-14-10,$13.00,$16.20,$16.00,24.62%
FleetCor Technologies,FLT,"J.P. Morgan/ Goldman, Sachs",12-15-10,$23.00,$27.75,$25.00,20.65%
GAIN Capital Holdings,GCAP,Morgan Stanley/Deutsche Bank,12-15-10,$9.00,$8.85,$9.05,-1.67%
