Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
ONTF,"ON24, INC.",Technology,2021-02-03,8.6,$50.00,$70.82,$40.46,-19.08%,2021-01-24,2020-11-11,2021-05-14,0.07806113473364068,-0.5221688746341375
TIXT,TELUS International (Cda) Inc.,Technology,2021-02-03,37.0,$25.00,$30.40,$28.39,13.56%,2021-01-24,2020-11-11,2021-05-14,0.07806113473364068,-0.04769733137453645
HMPT,Home Point Capital Inc.,Financials,2021-01-29,7.3,$13.00,$11.32,$9.74,-25.08%,2021-01-19,2020-11-06,2021-05-09,0.07751169818514927,-0.41696112344859426
TRIN,Trinity Capital Inc.,Financials,2021-01-29,7.4,$14.00,$15.00,$14.69,4.93%,2021-01-19,2020-11-06,2021-05-09,0.07751169818514927,0.015272977259953127
AGFY,Agrify,Consumer Goods,2021-01-28,5.4,$10.00,$12.74,$9.80,-2.00%,2021-01-18,2020-11-05,2021-05-08,0.077265512837451,-0.37284145096833876
OCDX,Ortho Clinical Diagnostics Holdings plc,Health Care,2021-01-28,76.0,$17.00,$16.10,$20.00,17.65%,2021-01-18,2020-11-05,2021-05-08,0.077265512837451,0.3472049701950128
XM,Qualtrics International,Technology,2021-01-28,51.7,$30.00,$45.50,$33.84,12.80%,2021-01-18,2020-11-05,2021-05-08,0.077265512837451,-0.21736262394831732
VINP,Vinci Partners Investments Ltd.,Financials,2021-01-28,13.9,$18.00,$16.90,$11.59,-35.61%,2021-01-18,2020-11-05,2021-05-08,0.077265512837451,-0.3461538201090304
ZIM,ZIM Integrated Shipping Services Ltd.,Industrials,2021-01-28,14.5,$15.00,$11.50,$28.73,91.53%,2021-01-18,2020-11-05,2021-05-08,0.077265512837451,2.441739289656929
SHLS,Shoals Technologies Group,Technology,2021-01-27,77.0,$25.00,$30.98,$33.91,35.64%,2021-01-17,2020-11-04,2021-05-07,0.09827518286800718,-0.1096969951282848
