Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
LVLU,"Lulu’s Fashion Lounge Holdings, Inc.",Consumer Goods,2021-11-11,5.8,$16.00,$13.06,$9.64,-39.75%,2021-11-01,2021-08-19,2022-02-19,0.04742716234144079,-0.2029096850735297
TIVC,"TIVIC HEALTH SYSTEMS, INC.",Health Care,2021-11-11,3.0,$5.00,$5.19,$1.53,-69.40%,2021-11-01,2021-08-19,2022-02-19,0.04742709227744083,-0.7341040500930751
VAXX,"Vaxxinity, Inc.",Health Care,2021-11-11,6.0,$13.00,$16.55,$3.61,-72.23%,2021-11-01,2021-08-19,2022-02-19,0.04742716234144079,-0.6785498237517584
WEAV,"WEAVE COMMUNICATIONS, INC.",Technology,2021-11-11,5.0,$24.00,$18.79,$4.86,-79.75%,2021-11-01,2021-08-19,2022-02-19,0.04742716234144079,-0.4981373152896876
WBEV,"Winc, Inc.",Consumer Goods,2021-11-11,1.5,$13.00,$12.27,$2.71,-79.15%,2021-11-01,2021-08-19,2022-02-19,0.04742716234144079,-0.6919315541673001
CINT,CI&T Inc.,Other,2021-11-10,13.0,$15.00,$18.44,$13.41,-10.60%,2021-10-31,2021-08-18,2022-02-18,0.04904887871044877,-0.17218546880406194
EXFY,Expensify,Technology,2021-11-10,9.7,$27.00,$41.06,$15.52,-42.52%,2021-10-31,2021-08-18,2022-02-18,0.04904880853796973,-0.38504629431345344
RIVN,"Rivian Automotive, Inc.",Industrials,2021-11-10,153.0,$78.00,$100.73,$31.22,-59.97%,2021-10-31,2021-08-18,2022-02-18,0.04904895232481439,-0.35729181270484633
HTZ,"HERTZ GLOBAL HOLDINGS, INC.",Consumer Services,2021-11-09,44.5,$29.00,$26.17,$20.06,-30.83%,2021-10-30,2021-08-17,2022-02-17,0.037566957933968616,-0.40373999387449877
SOPA,Society Pass Inc.,Technology,2021-11-09,2.9,$9.00,$48.30,$1.99,-77.89%,2021-10-30,2021-08-17,2022-02-17,0.037566957933968616,-0.9256728784497639
TCBX,"THIRD COAST BANCSHARES, INC.",Financials,2021-11-09,3.5,$25.00,$25.01,$22.49,-10.04%,2021-10-30,2021-08-17,2022-02-17,0.03756702733840911,-0.046381440895491406
CIAN,Cian PLC,Technology,2021-11-05,18.2,$16.00,$17.62,$3.40,-78.75%,2021-10-26,2021-08-13,2022-02-13,0.024868649503618074,-0.5363223787082747
IOBT,"IO Biotech, Inc.",Health Care,2021-11-05,7.2,$14.00,$15.65,$7.25,-48.21%,2021-10-26,2021-08-13,2022-02-13,0.024868649503618074,-0.45239617228635776
MYNZ,MAINZ BIOMED B.V.,Health Care,2021-11-05,2.0,$5.00,$9.99,$12.44,148.80%,2021-10-26,2021-08-13,2022-02-13,0.024868649503618074,-0.42517004669616354
RGF,"The Real Good Food Company, Inc.",Consumer Goods,2021-11-05,5.3,$12.00,$11.00,$7.17,-40.25%,2021-10-26,2021-08-13,2022-02-13,0.024868649503618074,-0.4409090822393244
ARHS,"Arhaus, Inc.",Consumer Goods,2021-11-04,12.9,$13.00,$12.80,$7.17,-44.85%,2021-10-25,2021-08-12,2022-02-12,0.021256914586688182,-0.37500000931322564
CDRE,Cadre Holdings,Industrials,2021-11-04,6.0,$13.00,$15.29,$25.38,95.23%,2021-10-25,2021-08-12,2022-02-12,0.021256914586688182,0.5011895302674692
EVO,Evotec SE,Health Care,2021-11-04,20.0,$21.75,$22.00,$12.00,-44.83%,2021-10-25,2021-08-12,2022-02-12,0.021256914586688182,-0.2795454372059215
MDXH,MDxHEALTH SA,Health Care,2021-11-04,3.8,$12.00,$12.00,$8.03,-33.08%,2021-10-25,2021-08-12,2022-02-12,0.021256914586688182,-0.28083332379659015
NRDS,NerdWallet,Technology,2021-11-04,7.3,$18.00,$28.30,$9.90,-45.00%,2021-10-25,2021-08-12,2022-02-12,0.021256914586688182,-0.5215547587675696
BIRD,"Allbirds, Inc.",Industrials,2021-11-03,20.2,$15.00,$28.89,$5.08,-66.13%,2021-10-24,2021-08-11,2022-02-11,0.02431752302087874,-0.6033229394164266
CMTG,"Claros Mortgage Trust, Inc.",Financials,2021-11-03,5.5,$18.65,$17.00,$17.89,-4.08%,2021-10-24,2021-08-11,2022-02-11,0.02431752302087874,0.06341513409458481
LIAN,LianBio,Health Care,2021-11-01,20.3,$16.00,$13.70,$5.02,-68.63%,2021-10-22,2021-08-09,2022-02-09,0.029206789029271752,-0.7343065579867754
AURA,"Aura Biosciences, Inc.",Health Care,2021-10-29,5.4,$14.00,$14.80,$16.96,21.14%,2021-10-19,2021-08-06,2022-02-06,0.013859447315936115,0.21891896507006767
TRDA,Entrada Therapeutics,Health Care,2021-10-29,9.1,$20.00,$23.95,$5.98,-70.10%,2021-10-19,2021-08-06,2022-02-06,0.013859447315936115,-0.5728601579810234
HRT,HireRight Holdings Corp.,Other,2021-10-29,22.2,$19.00,$17.25,$17.41,-8.37%,2021-10-19,2021-08-06,2022-02-06,0.013859447315936115,-0.24231885827105978
SONX,"Sonendo, Inc.",Health Care,2021-10-29,7.8,$12.00,$9.20,$2.92,-75.67%,2021-10-19,2021-08-06,2022-02-06,0.013859447315936115,-0.3206521598287698
UDMY,"Udemy, Inc.",Consumer Services,2021-10-29,14.5,$29.00,$27.50,$10.91,-62.38%,2021-10-19,2021-08-06,2022-02-06,0.013859447315936115,-0.4523636211048473
FLNC,"Fluence Energy, Inc.",Utilities,2021-10-28,31.0,$28.00,$34.84,$9.45,-66.25%,2021-10-18,2021-08-05,2022-02-05,0.0125371154735091,-0.5579999923706055
GFS,GLOBALFOUNDRIES Inc.,Technology,2021-10-28,55.0,$47.00,$46.40,$52.29,11.26%,2021-10-18,2021-08-05,2022-02-05,0.01253704571085977,0.12219823238115533
DTC,"Solo Brands, Inc.",Consumer Goods,2021-10-28,12.9,$17.00,$17.61,$6.31,-62.88%,2021-10-18,2021-08-05,2022-02-05,0.0125371154735091,-0.4264622355814846
AIP,"Arteris, Inc.",Technology,2021-10-27,5.0,$14.00,$18.20,$13.82,-1.29%,2021-10-17,2021-08-04,2022-02-04,0.018949445142627714,-0.21538466294740685
INFA,Informatica Inc.,Technology,2021-10-27,29.0,$29.00,$29.00,$20.67,-28.72%,2021-10-17,2021-08-04,2022-02-04,0.018949303403399242,-0.09137929719069908
MRAI,"MARPAI, INC.",Financials,2021-10-27,6.3,$4.00,$4.75,$1.60,-60.00%,2021-10-17,2021-08-04,2022-02-04,0.018949373607845824,-0.5789473684210527
RENT,"Rent the Runway, Inc.",Consumer Services,2021-10-27,17.0,$21.00,$19.29,$6.34,-69.81%,2021-10-17,2021-08-04,2022-02-04,0.018949303403399242,-0.7413167685699019
AUGX,Augmedix,Technology,2021-10-26,10.0,$4.00,$3.50,$2.88,-28.00%,2021-10-16,2021-08-03,2022-02-03,0.013937243040704672,-0.2828571455819266
ARIS,"Aris Water Solutions, Inc.",Oil & Gas,2021-10-22,17.7,$13.00,$14.30,$17.43,34.08%,2021-10-12,2021-07-30,2022-01-30,-0.0055355102235878344,-0.2210659144202661
UTRS,"MINERVA SURGICAL, INC.",Health Care,2021-10-22,6.3,$12.00,$9.00,$2.89,-75.92%,2021-10-12,2021-07-30,2022-01-30,-0.005535580114248076,-0.5266666412353516
XLO,Xilio Therapeutics,Health Care,2021-10-22,7.4,$16.00,$16.00,$3.39,-78.81%,2021-10-12,2021-07-30,2022-01-30,-0.0055355102235878344,-0.16124999523162842
ENFN,"Enfusion, Inc.",Technology,2021-10-21,18.8,$17.00,$19.81,$12.77,-24.88%,2021-10-11,2021-07-29,2022-01-29,-0.0031482066503155377,-0.39626449467054425
PX,"P10, INC.",Financials,2021-10-21,20.0,$12.00,$12.08,$12.10,0.83%,2021-10-11,2021-07-29,2022-01-29,-0.0031482066503155377,-0.0240066195103135
PTLO,Portillo’s Inc.,Consumer Services,2021-10-21,20.3,$20.00,$29.10,$20.44,2.20%,2021-10-11,2021-07-29,2022-01-29,-0.003148206430135051,-0.14639175852363615
RWAY,RUNWAY GROWTH FINANCE CORP.,Financials,2021-10-21,6.9,$14.60,$12.90,$14.37,-1.58%,2021-10-11,2021-07-29,2022-01-29,-0.0031482066503155377,0.009057700708611137
COCO,"The Vita Coco Company, Inc.",Consumer Goods,2021-10-21,11.5,$15.00,$13.52,$10.86,-27.60%,2021-10-11,2021-07-29,2022-01-29,-0.003148206430135051,-0.2477810849145375
CNTX,Context Therapeutics,Health Care,2021-10-20,5.0,$5.00,$5.10,$1.45,-71.00%,2021-10-10,2021-07-28,2022-01-28,0.000986147929352705,-0.6176470423239735
CYN,Cyngn,Technology,2021-10-20,3.5,$7.50,$7.40,$5.52,-26.40%,2021-10-10,2021-07-28,2022-01-28,0.0009860776316495455,-0.7810810832580221
SDIG,Stronghold Digital Mining,Technology,2021-10-20,6.7,$19.00,$28.90,$3.90,-79.47%,2021-10-10,2021-07-28,2022-01-28,0.0009860776316495455,-0.7370242212820115
INKT,"MiNK Therapeutics, Inc.",Health Care,2021-10-15,3.3,$12.00,$12.00,$2.24,-81.33%,2021-10-05,2021-07-23,2022-01-23,-0.022563929124383146,-0.7400000095367432
FNA,"Paragon 28, Inc.",Health Care,2021-10-15,7.8,$16.00,$18.71,$18.12,13.25%,2021-10-05,2021-07-23,2022-01-23,-0.022563929124383146,-0.2565472726850128
GTLB,"GitLab, Inc.",Technology,2021-10-14,10.4,$77.00,$103.89,$51.34,-33.32%,2021-10-04,2021-07-22,2022-01-22,0.0003930673506821778,-0.42333236885761766
IHS,IHS Holding Limited,Industrials,2021-10-14,18.0,$21.00,$17.00,$10.50,-50.00%,2021-10-04,2021-07-22,2022-01-22,0.0003930673785003184,-0.31647059496711283
LUCD,Lucid Diagnostics Inc.,Health Care,2021-10-14,5.0,$14.00,$11.76,$2.11,-84.93%,2021-10-04,2021-07-22,2022-01-22,0.0003931381782677461,-0.6717687227916966
AVDX,"AvidXchange Holdings, Inc.",Technology,2021-10-13,26.4,$25.00,$24.94,$8.19,-67.24%,2021-10-03,2021-07-21,2022-01-21,0.0024880207001733642,-0.5741780409725091
HCTI,Healthcare Triangle,Technology,2021-10-13,3.3,$4.00,$3.59,$0.78,-80.50%,2021-10-03,2021-07-21,2022-01-21,0.0024880207001733642,-0.5668523719428212
CGTX,"Cognition Therapeutics, Inc.",Health Care,2021-10-08,3.4,$12.00,$12.77,$2.90,-75.83%,2021-09-28,2021-07-16,2022-01-16,0.0294850597736944,-0.5105716698545426
ISO,IsoPlexis Corp.,Health Care,2021-10-08,8.3,$15.00,$11.52,$1.85,-87.67%,2021-09-28,2021-07-16,2022-01-16,0.0294850597736944,-0.2751736067994327
PYXS,"Pyxis Oncology, Inc.",Health Care,2021-10-08,10.5,$16.00,$13.20,$2.45,-84.69%,2021-09-28,2021-07-16,2022-01-16,0.0294850597736944,-0.21969694397228334
LTH,"Life Time Group Holdings, Inc.",Consumer Services,2021-10-07,39.0,$18.00,$17.75,$14.50,-19.44%,2021-09-27,2021-07-15,2022-01-15,0.02434079034625365,-0.016901365468199824
THRX,"Theseus Pharmaceuticals, Inc.",Health Care,2021-10-07,10.0,$16.00,$18.58,$8.17,-48.94%,2021-09-27,2021-07-15,2022-01-15,0.02434079034625365,-0.3686760177393689
NVEI,Nuvei Corp.,Technology,2021-10-06,3.0,$123.14,$129.80,$55.91,-54.60%,2021-09-26,2021-07-14,2022-01-14,0.020842088947788315,-0.4805084844390332
VLCN,"Volcon, Inc.",Industrials,2021-10-06,3.0,$5.50,$10.86,$1.54,-72.00%,2021-09-26,2021-07-14,2022-01-14,0.020842161065592706,-0.0930017778211
EXAI,Exscientia plc,Health Care,2021-10-01,13.9,$22.00,$0.00,$10.76,-51.09%,2021-09-21,2021-07-09,2022-01-09,-0.00020528113856943883,-0.25977862791253364
FWRG,"First Watch Restaurant Group, Inc.",Consumer Services,2021-10-01,9.5,$18.00,$0.00,$13.00,-27.78%,2021-09-21,2021-07-09,2022-01-09,-0.00020528113856943883,-0.3086307830567103
TDCX,TDCX Inc.,Technology,2021-10-01,19.4,$18.00,$0.00,$12.82,-28.78%,2021-09-21,2021-07-09,2022-01-09,-0.00020528113856943883,-0.13476663534094033
OLPX,"Olaplex Holdings, Inc.",Consumer Goods,2021-09-30,73.7,$21.00,$24.50,$14.70,-30.00%,2021-09-20,2021-07-08,2022-01-08,0.027601633976223842,-0.00081634521484375
HCVIU,Hennessy Capital Investment Corp. VI,Blank Check,2021-09-29,30.0,$10.00,$0.00,$10.07,0.70%,2021-09-19,2021-07-07,2022-01-07,0.019228732582393476,0.0010010239350302435
MEKA,MELI Kaszek Pioneer Corp.,Blank Check,2021-09-29,25.0,$10.00,$0.00,$10.20,2.00%,2021-09-19,2021-07-07,2022-01-07,0.019228732582393476,-0.012555999501181274
WRBY,Warby Parker Inc.,Consumer Goods,2021-09-29,77.7,$40.00,$54.49,$23.29,-41.78%,2021-09-19,2021-07-07,2022-01-07,0.019228732582393476,-0.22205912857587604
AMPL,"Amplitude, Inc.",Technology,2021-09-28,35.4,$50.00,$54.80,$17.46,-65.08%,2021-09-18,2021-07-06,2022-01-06,0.02283069397561853,-0.1636860863300809
CWAN,"Clearwater Analytics Holdings, Inc.",Technology,2021-09-24,30.0,$18.00,$25.37,$17.86,-0.78%,2021-09-14,2021-07-02,2022-01-02,0.029650547950880214,-0.09420580283549129
HLTH,Cue Health Inc.,Health Care,2021-09-24,12.5,$16.00,$20.00,$6.40,-60.00%,2021-09-14,2021-07-02,2022-01-02,0.029650547950880214,-0.3295000076293945
ARBK,Argo Blockchain Plc,Technology,2021-09-23,7.5,$15.00,$16.75,$8.29,-44.73%,2021-09-13,2021-07-01,2022-01-01,0.034872141043694065,-0.2740298598559935
BRLT,"Brilliant Earth Group, Inc.",Industrials,2021-09-23,8.3,$12.00,$17.12,$7.08,-41.00%,2021-09-13,2021-07-01,2022-01-01,0.034872141043694065,0.05490645914892816
ESMT,"ENGAGESMART, INC.",Technology,2021-09-23,14.6,$26.00,$34.12,$20.88,-19.69%,2021-09-13,2021-07-01,2022-01-01,0.034872141043694065,-0.29308318891260215
RELY,"Remitly Global, Inc.",Technology,2021-09-23,12.2,$43.00,$48.45,$11.10,-74.19%,2021-09-13,2021-07-01,2022-01-01,0.034872141043694065,-0.5744065941273189
SOVO,"Sovos Brands, Inc.",Industrials,2021-09-23,23.3,$12.00,$13.52,$14.64,22.00%,2021-09-13,2021-07-01,2022-01-01,0.034872141043694065,0.11316565689112905
STER,Sterling Check Corp.,Technology,2021-09-23,14.3,$23.00,$26.90,$25.98,12.96%,2021-09-13,2021-07-01,2022-01-01,0.034872141043694065,-0.23754644908049133
THRN,Thorne HealthTech,Consumer Goods,2021-09-23,7.0,$10.00,$7.55,$6.70,-33.00%,2021-09-13,2021-07-01,2022-01-01,0.034872141043694065,-0.17748345943517976
AKA,a.k.a. Brands Holding Corp.,Consumer Goods,2021-09-22,10.0,$11.00,$9.99,$3.53,-67.91%,2021-09-12,2021-06-30,2021-12-31,0.04060180375826048,-0.09209210183905452
FRSH,Freshworks,Technology,2021-09-22,28.5,$36.00,$47.55,$18.94,-47.39%,2021-09-12,2021-06-30,2021-12-31,0.04060180375826048,-0.4500525754341354
TOST,"Toast, Inc.",Technology,2021-09-22,21.7,$40.00,$62.51,$20.59,-48.53%,2021-09-12,2021-06-30,2021-12-31,0.04060180375826048,-0.41193410160642635
VBNK,VersaBank,Financials,2021-09-22,5.5,$10.00,$10.50,$10.22,2.20%,2021-09-12,2021-06-30,2021-12-31,0.040601878676805155,0.13634425243654635
ACT,"Enact Holdings, Inc. (formerly Genworth Mortgage Holdings, Inc.)",Financials,2021-09-16,13.3,$19.00,$20.49,$23.66,24.53%,2021-09-06,2021-06-24,2021-12-25,0.0658198326341026,0.03203041375347613
FORG,"ForgeRock, Inc.",Technology,2021-09-16,11.0,$25.00,$36.50,$20.54,-17.84%,2021-09-06,2021-06-24,2021-12-25,0.06581976013739575,-0.2586301516180169
AEHAU,Aesther Healthcare Acquisition Corp.,Blank Check,2021-09-15,10.0,$10.00,$10.06,$10.25,2.50%,2021-09-05,2021-06-23,2021-12-24,0.07212485442231639,0.0029820806878589016
DH,Definitive Healthcare Corp.,Technology,2021-09-15,15.6,$27.00,$43.29,$24.35,-9.81%,2021-09-05,2021-06-23,2021-12-24,0.07212485442231639,-0.3451143501523676
DICE,"DICE Therapeutics, Inc.",Health Care,2021-09-15,12.0,$17.00,$36.89,$20.32,19.53%,2021-09-05,2021-06-23,2021-12-24,0.07212485442231639,-0.3651395916567637
BROS,Dutch Bros Inc.,Consumer Goods,2021-09-15,21.1,$23.00,$36.68,$47.77,107.70%,2021-09-05,2021-06-23,2021-12-24,0.07212500553322858,0.4408396410690221
EZFL,"EzFill Holdings, Inc.",Consumer Services,2021-09-15,6.3,$4.00,$4.54,$0.65,-83.75%,2021-09-05,2021-06-23,2021-12-24,0.07212500553322858,-0.6167400827848131
ONON,On Holding AG,Industrials,2021-09-15,31.1,$24.00,$35.00,$24.97,4.04%,2021-09-05,2021-06-23,2021-12-24,0.07212485442231639,0.10314287458147321
PRCT,PROCEPT BioRobotics,Health Care,2021-09-15,6.6,$25.00,$41.94,$35.56,42.24%,2021-09-05,2021-06-23,2021-12-24,0.07212500553322858,-0.3552693895820196
TWKS,Thoughtworks Holding Inc. (Turing Holding),Technology,2021-09-15,36.8,$21.00,$29.39,$18.51,-11.86%,2021-09-05,2021-06-23,2021-12-24,0.07212485442231639,-0.07995911952787571
TYRA,Tyra Biosciences,Health Care,2021-09-15,10.8,$16.00,$26.00,$7.47,-53.31%,2021-09-05,2021-06-23,2021-12-24,0.07212500553322858,-0.42961538754976714
SRAD,Sportradar Group AG,Technology,2021-09-14,19.0,$27.00,$25.05,$12.73,-52.85%,2021-09-04,2021-06-22,2021-12-23,0.07083267597328256,-0.2766466510535646
DDI,DoubleDown Interactive,Technology,2021-08-31,6.3,$18.00,$17.75,$11.03,-38.72%,2021-08-21,2021-06-08,2021-12-09,0.053354318071073534,-0.1295774755343585
FCUV,Focus Universal Inc.,Technology,2021-08-31,2.0,$5.00,$5.10,$14.37,187.40%,2021-08-21,2021-06-08,2021-12-09,0.05335439519726241,1.7019607824804415
BTCY,"Biotricity, Inc.",Health Care,2021-08-26,5.0,$3.00,$2.91,$1.47,-51.00%,2021-08-16,2021-06-03,2021-12-04,0.06831640790923052,0.37113398345407883
AUID,authID.ai (IPSIDY INC.),Technology,2021-08-24,1.4,$7.00,$7.40,$3.14,-55.14%,2021-08-14,2021-06-01,2021-12-02,0.06602537027013149,0.9932432175553397
SSBK,"Southern States Bancshares, Inc.",Financials,2021-08-12,2.0,$19.00,$19.77,$22.95,20.79%,2021-08-02,2021-05-20,2021-11-20,0.05939276374588382,0.015265141380528122
ELYM,Eliem Therapeutics,Health Care,2021-08-10,6.4,$12.50,$15.90,$3.16,-74.72%,2021-07-31,2021-05-18,2021-11-18,0.0679822489093212,0.1830188627187588
ADGI,Adagio Therapeutics,Health Care,2021-08-06,18.2,$17.00,$20.88,$2.86,-83.18%,2021-07-27,2021-05-14,2021-11-14,0.062131750219250194,-0.08333332572099014
EWCZ,"European Wax Center, Inc.",Consumer Services,2021-08-05,10.6,$17.00,$21.39,$27.06,59.18%,2021-07-26,2021-05-13,2021-11-13,0.07580020733360483,0.2847124701639356
OBT,Orange County Bancorp,Financials,2021-08-05,1.0,$33.50,$34.10,$39.45,17.76%,2021-07-26,2021-05-13,2021-11-13,0.07580028840715525,0.1063236235083978
WEBR,Weber Inc.,Industrials,2021-08-05,17.9,$14.00,$16.50,$8.78,-37.29%,2021-07-26,2021-05-13,2021-11-13,0.07580020733360483,-0.028484882192487876
DOLE,Dole plc,Consumer Goods,2021-07-30,25.0,$16.00,$14.50,$11.91,-25.56%,2021-07-20,2021-05-07,2021-11-07,0.010045288839959655,-0.05862076565270204
IMRX,Immuneering Corp.,Health Care,2021-07-30,7.5,$15.00,$17.59,$5.35,-64.33%,2021-07-20,2021-05-07,2021-11-07,0.010045362823111505,0.6975554491941534
INAB,"IN8bio, INC.",Health Care,2021-07-30,4.0,$10.00,$10.00,$2.40,-76.00%,2021-07-20,2021-05-07,2021-11-07,0.010045362823111505,-0.25
OMGA,Omega Therapeutics,Health Care,2021-07-30,7.4,$17.00,$16.00,$3.41,-79.94%,2021-07-20,2021-05-07,2021-11-07,0.010045288839959655,0.40062499046325684
RANI,Rani Therapeutics Holdings,Health Care,2021-07-30,6.7,$11.00,$11.00,$12.23,11.18%,2021-07-20,2021-05-07,2021-11-07,0.010045362823111505,1.3936363567005505
RXST,RxSight,Health Care,2021-07-30,7.4,$16.00,$16.00,$11.69,-26.94%,2021-07-20,2021-05-07,2021-11-07,0.010045362823111505,-0.1731250286102295
TNYA,"Tenaya Therapeutics, Inc.",Health Care,2021-07-30,12.0,$15.00,$15.35,$9.22,-38.53%,2021-07-20,2021-05-07,2021-11-07,0.010045362823111505,0.7687295728868722
ICVX,"Icosavax, Inc.",Health Care,2021-07-29,12.1,$15.00,$34.97,$7.25,-51.67%,2021-07-19,2021-05-06,2021-11-06,0.03264637340315128,-0.23734632126622202
NUVL,"Nuvalent, Inc.",Health Care,2021-07-29,9.8,$17.00,$18.75,$10.29,-39.47%,2021-07-19,2021-05-06,2021-11-06,0.03264637099448735,0.5509333292643229
RLYB,Rallybio Corp.,Health Care,2021-07-29,6.2,$13.00,$14.10,$9.73,-25.15%,2021-07-19,2021-05-06,2021-11-06,0.03264637340315128,0.37304965153011965
RSKD,Riskified Ltd.,Technology,2021-07-29,17.5,$21.00,$26.00,$5.23,-75.10%,2021-07-19,2021-05-06,2021-11-06,0.03264637340315128,-0.23615382267878607
SWAGU,Software Acquisition Group Inc. III,Blank Check,2021-07-29,20.0,$10.00,$10.00,$10.26,2.60%,2021-07-19,2021-05-06,2021-11-06,0.032646447183601025,0.01700000762939453
COOK,Traeger Inc. (TGPX Holdings I LLC),Industrials,2021-07-29,23.5,$18.00,$22.00,$6.23,-65.39%,2021-07-19,2021-05-06,2021-11-06,0.03264644959227076,-0.03590913252397017
DALS,DA32 Life Science Tech Acquisition,Blank Check,2021-07-28,20.0,$10.00,$9.84,$9.80,-2.00%,2021-07-18,2021-05-05,2021-11-05,0.040892813424135685,0.011178826724745173
DUOL,"Duolingo, Inc.",Technology,2021-07-28,5.1,$102.00,$139.01,$87.96,-13.76%,2021-07-18,2021-05-05,2021-11-05,0.04089266164369228,0.18125947316689958
MLNK,"MeridianLink, Inc.",Technology,2021-07-28,13.2,$26.00,$24.60,$16.15,-37.88%,2021-07-18,2021-05-05,2021-11-05,0.04089266164369228,0.04268289515359002
PWSC,"PowerSchool Holdings, Inc.",Technology,2021-07-28,39.5,$18.00,$18.00,$15.06,-16.33%,2021-07-18,2021-05-05,2021-11-05,0.04089266164369228,0.3811937145560447
SNPO,Snap One Holdings Corp.,Industrials,2021-07-28,13.9,$18.00,$16.55,$11.92,-33.78%,2021-07-18,2021-05-05,2021-11-05,0.04089266164369228,-0.015505832892936743
CADL,Candel Therapeutics,Health Care,2021-07-27,9.0,$8.00,$7.00,$3.75,-53.13%,2021-07-17,2021-05-04,2021-11-04,0.04121835335333064,0.6714285441807338
CRBU,Caribou Biosciences,Health Care,2021-07-23,19.0,$16.00,$16.32,$7.40,-53.75%,2021-07-13,2021-04-30,2021-10-31,0.05082666375430214,0.3547794744973926
CNM,"Core & Main, Inc.",Industrials,2021-07-23,34.9,$20.00,$23.70,$23.76,18.80%,2021-07-13,2021-04-30,2021-10-31,0.050826589660903414,0.15443036833717674
CTKB,Cytek BioSciences,Health Care,2021-07-23,16.8,$17.00,$18.76,$9.65,-43.24%,2021-07-13,2021-04-30,2021-10-31,0.05082666375430214,0.21588481810492716
GAMB,Gambling.com Group Limited,Consumer Services,2021-07-23,5.3,$8.00,$8.00,$8.28,3.50%,2021-07-13,2021-04-30,2021-10-31,0.050826589660903414,0.8975000381469727
OB,Outbrain Inc.,Technology,2021-07-23,8.0,$20.00,$20.00,$9.50,-52.50%,2021-07-13,2021-04-30,2021-10-31,0.05082666752022268,-0.15299997329711915
SOPH,SOPHiA GENETICS SA,Health Care,2021-07-23,13.0,$18.00,$16.76,$6.85,-61.94%,2021-07-13,2021-04-30,2021-10-31,0.050826589660903414,-0.15334132538195056
USCB,U.S. Century Bank,Financials,2021-07-23,4.0,$10.00,$10.82,$13.72,37.20%,2021-07-13,2021-04-30,2021-10-31,0.050826589660903414,0.1534195835704298
XPOF,"Xponential Fitness, Inc.",Consumer Services,2021-07-23,10.0,$12.00,$12.25,$20.72,72.67%,2021-07-13,2021-04-30,2021-10-31,0.050826589660903414,0.37959180559430805
ABSI,AbSci Corp.,Health Care,2021-07-22,12.5,$16.00,$21.59,$6.51,-59.31%,2021-07-12,2021-04-29,2021-10-30,0.04019617917134314,-0.32051875995306456
BASE,"Couchbase, Inc.",Technology,2021-07-22,8.3,$24.00,$30.40,$17.00,-29.17%,2021-07-12,2021-04-29,2021-10-30,0.04019625573662037,0.3263157960780771
INST,"Instructure Holdings, Inc.",Technology,2021-07-22,12.5,$20.00,$20.98,$17.59,-12.05%,2021-07-12,2021-04-29,2021-10-30,0.0401962527779119,0.2020972289623896
RYAN,"Ryan Specialty Group Holdings, Inc.",Financials,2021-07-22,56.9,$23.50,$27.50,$38.58,64.17%,2021-07-12,2021-04-29,2021-10-30,0.040196326384480674,0.37418185147372157
ZENV,Zenvia Inc.,Technology,2021-07-22,11.5,$13.00,$10.20,$6.76,-48.00%,2021-07-12,2021-04-29,2021-10-30,0.0401962527779119,0.016666674458123646
ZVIA,Zevia PBC,Consumer Goods,2021-07-22,10.7,$14.00,$13.65,$3.44,-75.43%,2021-07-12,2021-04-29,2021-10-30,0.04019617917134314,-0.18021978805094255
LAW,CS Disco,Technology,2021-07-21,7.0,$32.00,$41.00,$30.71,-4.03%,2021-07-11,2021-04-28,2021-10-29,0.046825143616016134,0.3107317482552877
KLTR,"Kaltura, Inc.",Technology,2021-07-21,15.0,$10.00,$12.00,$1.59,-84.10%,2021-07-11,2021-04-28,2021-10-29,0.04682521414222591,-0.22333335876464844
PYCR,"Paycor HCM, Inc.",Technology,2021-07-21,18.5,$23.00,$26.05,$25.10,9.13%,2021-07-11,2021-04-28,2021-10-29,0.046825143616016134,0.2495201608586862
VEEE,Twin Vee PowerCats,Consumer Goods,2021-07-21,3.0,$6.00,$7.49,$3.63,-39.50%,2021-07-11,2021-04-28,2021-10-29,0.04682521414222591,-0.48865152994066335
VTEX,VTEX,Technology,2021-07-21,19.0,$19.00,$22.18,$5.29,-72.16%,2021-07-11,2021-04-28,2021-10-29,0.04682521414222591,-0.21100091256913495
HCWB,HCW Biologics Inc.,Health Care,2021-07-20,7.0,$8.00,$6.30,$2.34,-70.75%,2021-07-10,2021-04-27,2021-10-28,0.04652429381282045,-0.5365079384301825
BLND,"Blend Labs, Inc.",Technology,2021-07-16,20.0,$18.00,$20.90,$4.67,-74.06%,2021-07-06,2021-04-23,2021-10-24,0.04414972486640787,-0.3258373009683947
BRDG,Bridge Investment Group Holdings Inc.,Financials,2021-07-16,18.8,$16.00,$15.65,$18.78,17.38%,2021-07-06,2021-04-23,2021-10-24,0.04414972486640787,0.12332270621211887
ERAS,"Erasca, Inc.",Health Care,2021-07-16,18.8,$16.00,$17.43,$8.04,-49.75%,2021-07-06,2021-04-23,2021-10-24,0.04414972486640787,0.08376357193976149
IMGO,"Imago BioSciences, Inc.",Health Care,2021-07-16,8.4,$16.00,$16.29,$19.12,19.50%,2021-07-06,2021-04-23,2021-10-24,0.04414972486640787,0.608962407085548
