Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
"AZIYO BIOLOGICS, INC.",AZYO,Health Care,10/8/2020,2.9,$17.00,$14.50,$12.99,-23.59%
"fuboTV Inc. (formerly FaceBank Group, Inc.)",FUBO,Consumer Services,10/8/2020,18.3,$10.00,$10.58,$19.71,97.10%
Presidio Property Trust,SQFT,Financials,10/7/2020,0.5,$5.00,$4.60,$3.19,-36.20%
Academy Sports + Outdoors,ASO,Consumer Goods,10/2/2020,15.6,$13.00,$12.99,$31.14,139.54%
"C4 Therapeutics, Inc.",CCCC,Health Care,10/2/2020,9.6,$19.00,$25.49,$30.39,59.95%
"IMMUNOME, INC.",IMNM,Health Care,10/2/2020,3.3,$12.00,$13.45,$25.11,109.25%
"Oncorus, Inc.",ONCR,Health Care,10/2/2020,5.8,$15.00,$16.00,$13.89,-7.40%
"Lixiang Education Holding Co., Ltd.",LXEH,Consumer Services,10/1/2020,3.3,$9.25,$7.50,$8.90,-3.78%
"Mission Produce, Inc.",AVO,Consumer Goods,10/1/2020,8,$12.00,$13.80,$19.60,63.33%
Pulmonx Corp.,LUNG,Health Care,10/1/2020,10,$19.00,$39.31,$42.08,121.47%
"Thryv Holdings, Inc.",THRY,Consumer Services,10/1/2020,26.7,$10.17,$11.08,$25.54,151.13%
Boqii Holding Limited,BQ,Consumer Goods,9/30/2020,7,$10.00,$7.20,$4.30,-57.00%
Chindata Group Holdings Limited,CD,Technology,9/30/2020,40,$13.50,$16.23,$14.18,5.04%
Palantir Technologies,PLTR,Technology,9/30/2020,257.1,$7.25,$9.50,$22.63,212.14%
Yalla Group Limited,YALA,Technology,9/30/2020,18.6,$7.50,$7.00,$22.50,200.00%
Orphazyme A/S,ORPH,Health Care,9/29/2020,7.6,$11.00,$9.71,$9.52,-13.45%
Amesite,AMST,Technology,9/25/2020,3,$5.00,$5.22,$2.71,-45.80%
Graybug Vision,GRAY,Health Care,9/25/2020,5.6,$16.00,$16.50,$4.71,-70.56%
Greenwich LifeSciences,GLSI,Health Care,9/25/2020,1.3,$5.75,$5.00,$32.02,456.87%
PMV Pharmaceuticals,PMVP,Health Care,9/25/2020,11.8,$18.00,$37.51,$31.26,73.67%
Prelude Therapeutics,PRLD,Health Care,9/25/2020,8.3,$19.00,$26.20,$33.22,74.84%
VIA optronics AG,VIAO,Technology,9/25/2020,6.3,$15.00,$10.18,$13.50,-10.00%
"Taysha Gene Therapies, Inc.",TSHA,Health Care,9/24/2020,7.9,$20.00,$24.06,$24.32,21.60%
Bentley Systems,BSY,Technology,9/23/2020,10.8,$22.00,$33.49,$50.94,131.55%
Corsair Gaming,CRSR,Technology,9/23/2020,14,$17.00,$14.25,$32.86,93.29%
GoodRx Holdings,GDRX,Technology,9/23/2020,34.6,$33.00,$50.50,$38.64,17.09%
"Laird Superfood, Inc.",LSF,Consumer Goods,9/23/2020,2.7,$22.00,$40.80,$34.25,55.68%
Athira Pharma,ATHA,Health Care,9/18/2020,12,$17.00,$17.11,$17.42,2.47%
COMPASS Pathways plc,CMPS,Health Care,9/18/2020,7.5,$17.00,$29.00,$32.29,89.94%
Unity Software Inc.,U,Technology,9/18/2020,25,$52.00,$68.35,$97.40,87.31%
Vitru Ltd.,VTRU,Consumer Services,9/18/2020,6,$16.00,$16.00,$12.95,-19.06%
American Well Corp.,AMWL,Health Care,9/17/2020,41.2,$18.00,$23.95,$17.31,-3.83%
Broadstone Net Lease,BNL,Financials,9/17/2020,33.5,$17.00,$16.11,$19.30,13.53%
Pactiv Evergreen,PTVE,Consumer Goods,9/17/2020,41,$14.00,$10.93,$13.63,-2.64%
"Sumo Logic, Inc.",SUMO,Technology,9/17/2020,14.8,$22.00,$26.88,$17.84,-18.91%
JFrog Ltd.,FROG,Technology,9/16/2020,11.6,$44.00,$64.79,$47.76,8.55%
Snowflake,SNOW,Technology,9/16/2020,28,$120.00,$253.93,$225.22,87.68%
"Applied UV, Inc.",AUVI,Consumer Goods,8/31/2020,1,$5.00,$11.60,$9.65,93.00%
Harbor Custom Development,HCDI,Financials,8/28/2020,1.8,$6.00,$7.50,$3.02,-49.67%
XPeng,XPEV,Consumer Goods,8/27/2020,99.7,$15.00,$21.22,$32.60,117.33%
Kymera Therapeutics,KYMR,Health Care,8/21/2020,8.7,$20.00,$33.26,$39.79,98.95%
Nano-X Imaging Ltd.,NNOX,Health Care,8/21/2020,9.2,$18.00,$21.70,$30.45,69.17%
Harmony Biosciences Holdings,HRMY,Health Care,8/19/2020,5.4,$24.00,$37.01,$28.00,16.67%
Inhibrx,INBX,Health Care,8/19/2020,7,$17.00,$20.63,$19.52,14.82%
CureVac B.V.,CVAC,Health Care,8/14/2020,13.3,$16.00,$55.90,$112.94,605.88%
Duck Creek Technologies,DCT,Technology,8/14/2020,15,$27.00,$40.00,$42.44,57.19%
NETSTREIT,NTST,Financials,8/13/2020,12.5,$18.00,$17.75,$20.88,16.00%
FS Development,FSDC,Blank Check,8/12/2020,10.5,$10.00,$10.30,$13.22,32.20%
ARYA Sciences Acquisition Corp III,ARYA,Blank Check,8/7/2020,13,$10.00,$10.44,$11.67,16.70%
Checkmate Pharmaceuticals,CMPI,Health Care,8/7/2020,5,$15.00,$14.00,$6.12,-59.20%
Freeline Therapeutics Holdings plc,FRLN,Health Care,8/7/2020,8.8,$18.00,$18.00,$12.24,-32.00%
IBEX Ltd.,IBEX,Technology,8/7/2020,4.8,$19.00,$15.40,$21.94,15.47%
Acutus Medical,AFIB,Health Care,8/6/2020,8.8,$18.00,$26.50,$12.91,-28.28%
Oak Street Health,OSH,Health Care,8/6/2020,15.6,$21.00,$40.00,$59.10,181.43%
Rocket Companies,RKT,Financials,8/6/2020,100,$18.00,$21.51,$21.67,20.39%
BigCommerce Holdings,BIGC,Technology,8/5/2020,9,$24.00,$72.27,$52.54,118.92%
Rackspace Technology,RXT,Consumer Services,8/5/2020,33.5,$21.00,$15.39,$24.99,19.00%
Health Sciences Acquisitions Corp 2,HSAQ,Blank Check,8/4/2020,13.9,$10.00,$11.40,$10.31,3.10%
1847 Goedeker,GOED,Consumer Goods,7/31/2020,1.1,$9.00,$8.90,$6.68,-25.78%
Fathom Holdings,FTHM,Financials,7/31/2020,3.4,$10.00,$10.03,$31.33,213.30%
Vasta Platform Limited,VSTA,Consumer Services,7/31/2020,18.6,$19.00,$18.85,$9.16,-51.79%
"Vital Farms, Inc.",VITL,Consumer Goods,7/31/2020,9.3,$22.00,$35.26,$25.26,14.82%
AlloVir,ALVR,Health Care,7/30/2020,16.3,$17.00,$25.39,$22.70,33.53%
Li Auto,LI,Consumer Goods,7/30/2020,95,$11.50,$16.46,$19.78,72.00%
Vertex,VERX,Technology,7/29/2020,21.2,$19.00,$23.93,$22.61,19.00%
Annexon,ANNX,Health Care,7/24/2020,14.8,$17.00,$17.76,$21.78,28.12%
Inozyme Pharma,INZY,Health Care,7/24/2020,7,$16.00,$17.54,$18.07,12.94%
iTeos Therapeutics,ITOS,Health Care,7/24/2020,10.6,$19.00,$19.05,$22.28,17.26%
Nurix Therapeutics,NRIX,Health Care,7/24/2020,11,$19.00,$19.01,$29.57,55.63%
Montrose Environmental Group,MEG,Consumer Services,7/23/2020,10,$15.00,$22.00,$54.18,261.20%
Skillful Craftsman Education Technology Ltd.,EDTK,Consumer Services,7/23/2020,3,$5.00,$4.75,$2.50,-50.00%
Jamf Holding,JAMF,Technology,7/22/2020,18,$26.00,$39.20,$35.02,34.69%
ALX Oncology Holdings,ALXO,Health Care,7/17/2020,8.5,$19.00,$30.00,$58.00,205.26%
Berkeley Lights,BLI,Health Care,7/17/2020,8.1,$22.00,$65.45,$48.02,118.27%
Pandion Therapeutics Holdco,PAND,Health Care,7/17/2020,7.5,$18.00,$18.10,$60.05,233.61%
Relay Therapeutics,RLAY,Health Care,7/16/2020,20,$20.00,$35.05,$34.41,72.05%
Trean Insurance Group,TIG,Financials,7/16/2020,10.7,$15.00,$15.51,$17.00,13.33%
GoHealth,GOCO,Financials,7/15/2020,43.5,$21.00,$19.13,$12.03,-42.71%
nCino,NCNO,Technology,7/14/2020,8.1,$31.00,$91.59,$67.05,116.29%
Nkarta,NKTX,Health Care,7/10/2020,14,$18.00,$47.90,$33.91,88.39%
Poseida Therapeutics,PSTX,Health Care,7/10/2020,14,$16.00,$15.35,$8.51,-46.81%
Quhuo Limited,QH,Consumer Services,7/10/2020,3.3,$10.00,$12.77,$4.74,-52.60%
BlueCity Holdings,BLCT,Technology,7/8/2020,5.3,$16.00,$23.43,$8.32,-48.00%
Therapeutics Acquisition,TXAC,Blank Check,7/8/2020,11.8,$10.00,$12.02,$13.30,33.00%
Accolade,ACCD,Consumer Services,7/2/2020,10,$22.00,$29.70,$44.35,101.59%
Lemonade,LMND,Financials,7/2/2020,11,$29.00,$69.41,$89.75,209.48%
Dun & Bradstreet Holdings,DNB,Consumer Services,7/1/2020,78.3,$22.00,$25.35,$23.45,6.59%
Agora,API,Technology,6/26/2020,17.5,$20.00,$50.50,$56.89,184.45%
Akouos,AKUS,Health Care,6/26/2020,12.5,$17.00,$22.00,$14.60,-14.12%
Albertsons Companies,ACI,Consumer Goods,6/26/2020,50,$16.00,$15.45,$19.53,22.06%
Ebang International Holdings,EBON,Technology,6/26/2020,19.3,$5.23,$5.00,$4.16,-20.46%
Fusion Pharmaceuticals,FUSN,Health Care,6/26/2020,12.5,$17.00,$17.00,$8.74,-48.59%
PolyPid,PYPD,Health Care,6/26/2020,3.8,$16.00,$19.00,$9.27,-42.06%
Forma Therapeutics Holdings,FMTX,Health Care,6/19/2020,13.9,$20.00,$39.00,$25.15,25.75%
Genetron Holdings,GTH,Health Care,6/19/2020,16,$16.00,$16.00,$20.19,26.19%
Progenity,PROG,Health Care,6/19/2020,6.7,$15.00,$13.12,$3.01,-79.93%
Repare Therapeutics,RPTX,Health Care,6/19/2020,11,$20.00,$30.80,$31.85,59.25%
Royalty Pharma plc,RPRX,Health Care,6/16/2020,77.7,$28.00,$44.50,$41.44,48.00%
Avidity Biosciences,RNA,Health Care,6/12/2020,14.4,$18.00,$28.50,$20.12,11.78%
AZEK Company (The),AZEK,Consumer Goods,6/12/2020,33.3,$23.00,$27.15,$47.23,105.35%
Burning Rock Biotech Ltd.,BNR,Health Care,6/12/2020,13.5,$16.50,$24.63,$29.03,75.94%
Generation Bio,GBIO,Health Care,6/12/2020,10.5,$19.00,$24.69,$31.54,66.00%
Vaxcyte,PCVX,Health Care,6/12/2020,15.6,$16.00,$26.15,$18.47,15.44%
Lantern Pharma,LTRN,Health Care,6/11/2020,1.8,$15.00,$14.95,$15.29,1.93%
uCloudlink Group,UCL,Telecommunications,6/10/2020,2,$18.00,$17.24,$9.97,-44.61%
Hudson Executive Investment,HECCU,Blank Check,6/9/2020,36,$10.00,$10.25,$10.49,4.90%
Vroom,VRM,Consumer Services,6/9/2020,21.3,$22.00,$47.90,$42.85,94.77%
Applied Molecular Transport,AMTI,Health Care,6/5/2020,11,$14.00,$17.98,$39.76,184.00%
Dada Nexus Limited,DADA,Technology,6/5/2020,20,$16.00,$15.99,$22.54,40.88%
Legend Biotech,LEGN,Health Care,6/5/2020,18.4,$23.00,$37.00,$26.72,16.17%
Shift4 Payments,FOUR,Consumer Services,6/5/2020,15,$23.00,$33.54,$94.64,311.48%
ZoomInfo Technologies,ZI,Technology,6/4/2020,44.5,$21.00,$34.00,$45.63,117.29%
Pliant Therapeutics,PLRX,Health Care,6/3/2020,9,$16.00,$21.30,$28.18,76.13%
Warner Music Group,WMG,Consumer Goods,6/3/2020,77,$25.00,$30.12,$36.05,44.20%
Inari Medical,NARI,Health Care,5/22/2020,8.2,$19.00,$42.51,$103.13,442.79%
SelectQuote,SLQT,Financials,5/21/2020,28.5,$20.00,$27.00,$29.22,46.10%
ADC Therapeutics SA,ADCT,Health Care,5/15/2020,12.3,$19.00,$29.65,$22.97,20.89%
Ayala Pharmaceuticals,AYLA,Health Care,5/8/2020,3.7,$15.00,$15.03,$10.51,-29.93%
China Liberal Education Holdings,CLEU,Consumer Services,5/8/2020,1.3,$6.00,$4.85,$3.43,-42.83%
Kingsoft Cloud Holdings,KC,Technology,5/8/2020,30,$17.00,$23.84,$44.15,159.71%
Lyra Therapeutics,LYRA,Health Care,5/1/2020,3.5,$16.00,$18.56,$10.77,-32.69%
ORIC Pharmaceuticals,ORIC,Health Care,4/24/2020,7.5,$16.00,$25.77,$21.02,31.38%
Keros Therapeutics,KROS,Health Care,4/8/2020,6,$16.00,$20.08,$34.30,114.38%
Zentalis Pharmaceuticals,ZNTL,Health Care,4/3/2020,9.2,$18.00,$23.20,$41.95,133.06%
WiMi Hologram Cloud,WIMI,Technology,4/1/2020,4.8,$5.50,$5.50,$3.52,-36.00%
IMARA Inc.,IMRA,Health Care,3/12/2020,4.7,$16.00,$15.00,$45.75,185.94%
GFL Environmental Holdings,GFL,Consumer Services,3/3/2020,75,$19.00,$16.80,$18.10,-4.74%
Passage BIO,PASG,Health Care,2/28/2020,12,$18.00,$22.20,$24.61,36.72%
ZHONGCHAO,ZCMD,Consumer Services,2/24/2020,3,$4.00,$4.00,$2.24,-44.00%
Muscle Maker,GRIL,Consumer Services,2/13/2020,1.5,$5.00,$3.86,$2.17,-56.60%
Revolution Medicines,RVMD,Health Care,2/13/2020,14,$17.00,$28.90,$36.08,112.24%
Huize Holding Ltd.,HUIZ,Financials,2/12/2020,5.3,$10.50,$10.00,$7.10,-32.38%
NexPoint Real Estate Finance,NREF,Financials,2/7/2020,5,$19.00,$18.80,$15.20,-20.00%
OneWater Marine,ONEW,Consumer Goods,2/7/2020,4.6,$12.00,$15.14,$20.83,73.58%
Beam Therapeutics,BEAM,Health Care,2/6/2020,10.6,$17.00,$18.75,$24.94,46.71%
Casper Sleep,CSPR,Consumer Goods,2/6/2020,8.4,$12.00,$13.50,$8.14,-32.17%
PPD,PPD,Health Care,2/6/2020,60,$27.00,$30.00,$25.65,-5.00%
Schrodinger,SDGR,Health Care,2/6/2020,11.9,$17.00,$28.64,$60.51,255.94%
1Life Healthcare,ONEM,Consumer Services,1/31/2020,17.5,$14.00,$22.07,$29.51,110.79%
Arcutis Biotherapeutics,ARQT,Health Care,1/31/2020,9.4,$17.00,$21.80,$25.53,50.18%
Reynolds Consumer Products,REYN,Consumer Goods,1/31/2020,47.2,$26.00,$28.55,$31.41,20.81%
AnPac Bio-Medical Science,ANPC,Health Care,1/30/2020,1.3,$12.00,$11.25,$7.05,-41.25%
Black Diamond Therapeutics,BDTX,Health Care,1/30/2020,10.6,$19.00,$39.48,$34.58,82.00%
Annovis Bio,ANVS,Health Care,1/29/2020,2,$6.00,$9.59,$4.50,-25.00%
I-MAB,IMAB,Health Care,1/17/2020,7.4,$14.00,$12.50,$24.01,71.50%
LIZHI,LIZI,Technology,1/17/2020,4.1,$11.00,$11.63,$5.40,-50.91%
Phoenix Tree Holdings Ltd.,DNK,Consumer Services,1/17/2020,9.6,$13.50,$13.00,$9.14,-32.30%
Velocity Financial,VEL,Financials,1/17/2020,7.3,$13.00,$13.51,$4.66,-64.15%
Molecular Data,MKD,Consumer Services,12/30/2019,11.5,$5.38,$5.46,$1.75,-67.47%
Indonesia Energy Corp Ltd.,INDO,Health Care,12/19/2019,1.4,$11.00,$10.50,$4.54,-58.73%
Monopar Therapeutics,MNPR,Health Care,12/19/2019,1.1,$8.00,$26.50,$7.98,-0.25%
OneConnect Financial Technology,OCFT,Technology,12/13/2019,31.2,$10.00,$10.00,$15.63,56.30%
Sprout Social,SPT,Technology,12/13/2019,8.8,$17.00,$16.60,$26.50,55.88%
Bill.com Holdings,BILL,Technology,12/12/2019,9.8,$22.00,$35.50,$78.35,256.14%
EHang Holdings Ltd.,EH,Consumer Services,12/12/2019,3.2,$12.50,$12.49,$12.00,-4.00%
XP Inc.,XP,Financials,12/11/2019,72.5,$27.00,$34.46,$41.20,52.59%
LMP Automotive Holdings,LMPX,Consumer Goods,12/5/2019,2.3,$5.00,$5.36,$9.84,96.80%
Alpine Income Property Trust,PINE,Financials,11/22/2019,7.5,$19.00,$19.00,$16.06,-15.47%
Canaan,CAN,Technology,11/21/2019,10,$9.00,$8.99,$2.06,-77.11%
SiTime,SITM,Technology,11/21/2019,4.3,$13.00,$18.65,$35.75,175.00%
YayYo,YAYO,Technology,11/13/2019,2.6,$4.00,$3.55,$0.48,-88.00%
89bio,ETNB,Health Care,11/11/2019,5.3,$16.00,$20.80,$24.27,51.69%
36Kr Holdings,KRKR,Consumer Goods,11/8/2019,1.4,$14.50,$13.06,$5.31,-63.38%
CNS Pharmaceuticals,CNSP,Health Care,11/8/2019,2.1,$4.00,$4.57,$2.47,-38.25%
ECMOHO Ltd.,MOHO,Consumer Goods,11/8/2019,4.4,$10.00,$10.10,$2.95,-70.50%
TELA Bio,TELA,Health Care,11/8/2019,4,$13.00,$13.35,$16.87,29.77%
Centogene B.V.,CNTG,Health Care,11/7/2019,4,$14.00,$12.49,$21.32,52.29%
Galera Therapeutics,GRTX,Health Care,11/7/2019,5,$12.00,$12.00,$8.72,-27.33%
Silvergate Capital,SI,Financials,11/7/2019,3.3,$12.00,$12.52,$13.40,11.67%
Q&K International Group,QK,Financials,11/5/2019,2.7,$17.00,$17.64,$11.50,-32.35%
Fangdd Network Group,DUO,Financials,11/1/2019,6,$13.00,$13.00,$11.75,-9.62%
Oyster Point Pharma,OYST,Health Care,10/31/2019,5,$16.00,$18.78,$28.75,79.69%
RAPT Therapeutics,RAPT,Health Care,10/31/2019,3,$12.00,$13.00,$21.52,79.33%
Aesthetic Medical International Holdings Group,AIH,Health Care,10/25/2019,2.5,$12.00,$10.03,$6.44,-46.33%
Cabaletta Bio,CABA,Health Care,10/25/2019,6.8,$11.00,$10.00,$7.81,-29.00%
Happiness Biotech Group Limited,HAPP,Health Care,10/25/2019,2,$5.50,$4.50,$2.72,-50.55%
Phathom Pharmaceuticals,PHAT,Health Care,10/25/2019,9.6,$19.00,$24.60,$49.44,160.21%
Progyny,PGNY,Health Care,10/25/2019,10,$13.00,$15.94,$22.56,73.54%
TFF Pharmaceuticals,TFFP,Health Care,10/25/2019,4.4,$5.00,$5.07,$5.25,5.00%
Youdao,DAO,Consumer Services,10/25/2019,5.6,$17.00,$12.50,$26.22,54.24%
BRP Group,BRP,Financials,10/24/2019,16.4,$14.00,$16.37,$14.78,5.57%
BellRing Brands,BRBR,Consumer Goods,10/17/2019,34.3,$14.00,$16.50,$19.11,36.50%
HBT Financial,HBT,Financials,10/11/2019,8.3,$16.00,$15.54,$13.17,-17.69%
Vir Biotechnology,VIR,Health Care,10/11/2019,7.1,$20.00,$14.05,$34.22,71.10%
BioNTech SE,BNTX,Health Care,10/10/2019,10,$15.00,$14.24,$48.58,223.87%
Aprea Therapeutics,APRE,Health Care,10/3/2019,5.7,$15.00,$20.50,$30.66,104.40%
Frequency Therapeutics,FREQ,Health Care,10/3/2019,6,$14.00,$13.70,$19.93,42.36%
Viela Bio,VIE,Health Care,10/3/2019,7.9,$19.00,$23.41,$46.83,146.47%
Oportun Financial,OPRT,Financials,9/26/2019,6.3,$15.00,$16.17,$12.78,-14.80%
Peloton Interactive,PTON,Consumer Services,9/26/2019,40,$29.00,$25.76,$47.10,62.41%
Datadog,DDOG,Technology,9/19/2019,24,$27.00,$37.55,$78.05,189.07%
Exagen,XGN,Health Care,9/19/2019,3.6,$14.00,$18.58,$12.45,-11.07%
Ping Identity Holding,PING,Technology,9/19/2019,12.5,$15.00,$20.11,$28.92,92.80%
Envista Holdings,NVST,Health Care,9/18/2019,26.8,$22.00,$27.95,$19.54,-11.18%
IGM Biosciences,IGMS,Health Care,9/18/2019,10.9,$16.00,$24.30,$62.54,290.88%
Cloudflare,NET,Technology,9/13/2019,35,$15.00,$18.00,$28.82,92.13%
Satsuma Pharmaceuticals,STSA,Health Care,9/13/2019,5.5,$15.00,$16.90,$26.99,79.93%
SpringWorks Therapeutics,SWTX,Health Care,9/13/2019,9,$18.00,$22.63,$42.96,138.67%
10x Genomics,TXG,Health Care,9/12/2019,10,$39.00,$52.75,$83.26,113.49%
SmileDirectClub,SDC,Health Care,9/12/2019,58.5,$23.00,$16.67,$7.36,-68.00%
9F,JFU,Financials,8/15/2019,8.9,$9.50,$9.58,$6.30,-33.68%
CrossFirst Bankshares,CFB,Financials,8/15/2019,7,$14.50,$14.60,$8.90,-38.62%
InMode Ltd.,INMD,Technology,8/8/2019,5,$14.00,$13.57,$29.79,112.79%
AMTD International,HKIB,Financials,8/5/2019,20.8,$8.38,$10.09,$6.50,-22.43%
Dynatrace Holdings,DT,Technology,8/1/2019,35.6,$16.00,$23.85,$35.89,124.31%
Kura Sushi USA,KRUS,Consumer Goods,8/1/2019,2.9,$14.00,$19.61,$16.07,14.79%
Sundial Growers,SNDL,Health Care,8/1/2019,11,$11.00,$8.48,$0.97,-91.18%
Blue Hat Interactive Entertainment Technology,BHAT,Consumer Goods,7/26/2019,2,$4.00,$4.58,$1.18,-70.50%
Wanda Sports Group,WSG,Consumer Services,7/26/2019,23.8,$8.00,$5.16,$2.61,-67.38%
Castle Biosciences,CSTL,Health Care,7/25/2019,4,$16.00,$21.40,$37.02,131.38%
Health Catalyst,HCAT,Technology,7/25/2019,7,$26.00,$39.17,$27.26,4.85%
Livongo Health,LVGO,Health Care,7/25/2019,12.7,$28.00,$38.10,$60.00,114.29%
ProSight Global,PROS,Financials,7/25/2019,7.9,$14.00,$17.07,$9.58,-31.57%
Sunnova Energy International,NOVA,Consumer Services,7/25/2019,14,$12.00,$11.25,$16.36,36.33%
Afya Limited,AFYA,Consumer Services,7/19/2019,13.7,$19.00,$24.09,$23.08,21.47%
Medallia,MDLA,Technology,7/19/2019,15.5,$21.00,$37.05,$26.01,23.86%
AssetMark Financial Holdings,AMK,Financials,7/18/2019,12.5,$22.00,$27.04,$27.05,22.95%
Fulcrum Therapeutics,FULC,Health Care,7/18/2019,4.5,$16.00,$13.50,$17.37,8.56%
Mirum Pharmaceuticals,MIRM,Health Care,7/18/2019,5,$15.00,$13.21,$17.65,17.67%
Owl Rock Capital Corp.,ORCC,Financials,7/18/2019,10,$15.30,$15.49,$12.22,-20.13%
Phreesia,PHR,Consumer Services,7/18/2019,9.3,$18.00,$25.08,$28.67,59.28%
DouYu International Holdings,DOYU,Technology,7/17/2019,67.4,$11.50,$11.50,$8.98,-21.91%
Karuna Therapeutics,KRTX,Health Care,6/28/2019,5.6,$16.00,$20.02,$92.86,480.38%
TheRealReal,REAL,Consumer Goods,6/28/2019,15,$20.00,$28.90,$12.54,-37.30%
Adaptive Biotechnologies,ADPT,Health Care,6/27/2019,15,$20.00,$40.30,$42.71,113.55%
BridgeBio Pharma,BBIO,Health Care,6/27/2019,20.5,$17.00,$27.55,$28.67,68.65%
Change Healthcare,CHNG,Technology,6/27/2019,42.9,$13.00,$15.00,$10.59,-18.54%
Morphic Holding,MORF,Health Care,6/27/2019,6,$15.00,$18.00,$22.49,49.93%
BlackRock Science and Technology Trust II,BSTZ,Financials,6/26/2019,70,$20.00,$20.02,$21.80,9.00%
Cambium Networks,CMBM,Telecommunications,6/26/2019,5.8,$12.00,$9.70,$5.81,-51.58%
Akero Therapeutics,AKRO,Health Care,6/20/2019,5.8,$16.00,$18.32,$24.28,51.75%
Atreca,BCEL,Health Care,6/20/2019,7.4,$17.00,$18.05,$17.44,2.59%
Grocery Outlet Holding,GO,Consumer Goods,6/20/2019,17.2,$22.00,$28.51,$32.63,48.32%
Personalis,PSNL,Health Care,6/20/2019,7.9,$17.00,$28.49,$11.69,-31.24%
Prevail Therapeutics,PRVL,Health Care,6/20/2019,7.4,$17.00,$13.60,$15.59,-8.29%
Stoke Therapeutics,STOK,Health Care,6/19/2019,7.9,$18.00,$25.57,$22.54,25.22%
Chewy,CHWY,Consumer Goods,6/14/2019,46.5,$22.00,$34.99,$35.00,59.09%
Fiverr International Ltd.,FVRR,Technology,6/13/2019,5.3,$21.00,$39.90,$29.70,41.43%
CrowdStrike Holdings,CRWD,Technology,6/12/2019,18,$34.00,$58.00,$68.29,100.85%
Mohawk Group Holdings,MWK,Consumer Goods,6/12/2019,3.6,$10.00,$10.00,$8.07,-19.30%
GSX Techedu,GSX,Consumer Services,6/6/2019,19.8,$10.50,$10.48,$10.79,2.76%
Bicycle Therapeutics Limited,BCYC,Health Care,5/23/2019,4.3,$14.00,$12.00,$10.06,-28.14%
IDEAYA Biosciences,IDYA,Health Care,5/23/2019,5,$10.00,$11.19,$9.96,-0.40%
Rattler Midstream Partners LP,RTLR,Oil & Gas,5/23/2019,38,$17.50,$19.24,$19.39,10.80%
Avantor,AVTR,Health Care,5/17/2019,207,$14.00,$14.50,$19.09,36.36%
Fastly,FSLY,Technology,5/17/2019,11.3,$16.00,$23.99,$20.28,26.75%
Postal Realty Trust,PSTL,Financials,5/15/2019,4.5,$17.00,$17.00,$15.75,-7.35%
Applied Therapeutics,APLT,Health Care,5/13/2019,4,$10.00,$9.40,$8.24,-17.60%
Jiayin Group,JFIN,Financials,5/10/2019,3.5,$10.50,$16.15,$15.99,52.29%
Sonim Technologies,SONM,Telecommunications,5/10/2019,3.6,$11.00,$10.99,$12.73,15.73%
Uber Technologies,UBER,Consumer Services,5/10/2019,180,$45.00,$41.57,$46.38,3.07%
Axcella Health,AXLA,Health Care,5/9/2019,3.6,$20.00,$13.80,$9.31,-53.45%
Cortexyme,CRTX,Health Care,5/9/2019,4.4,$17.00,$32.89,$42.51,150.06%
HeadHunter Group PLC,HHR,Consumer Services,5/9/2019,16.3,$13.50,$15.75,$16.25,20.37%
Mayville Engineering,MEC,Industrials,5/9/2019,6.3,$17.00,$16.47,$13.80,-18.82%
Milestone Pharmaceuticals,MIST,Health Care,5/9/2019,5.5,$15.00,$15.37,$27.15,81.00%
NextCure,NXTC,Health Care,5/9/2019,5,$15.00,$19.90,$14.98,-0.13%
South Plains Financial,SPFI,Financials,5/9/2019,3.4,$17.50,$17.71,$16.50,-5.71%
Parsons,PSN,Technology,5/8/2019,18.5,$27.00,$30.07,$36.86,36.52%
Trevi Therapeutics,TRVI,Health Care,5/7/2019,5.5,$10.00,$7.89,$7.50,-25.00%
Red River Bancshares,RRBI,Financials,5/3/2019,0.6,$45.00,$50.25,$48.45,7.67%
SciPlay,SCPL,Technology,5/3/2019,22,$16.00,$15.25,$13.71,-14.31%
Beyond Meat,BYND,Consumer Goods,5/2/2019,9.6,$25.00,$65.75,$160.68,542.72%
So-Young International,SY,Technology,5/2/2019,13,$13.80,$18.20,$13.89,0.65%
TransMedics Group,TMDX,Health Care,5/2/2019,5.7,$16.00,$22.36,$28.99,81.19%
Brigham Minerals,MNRL,Oil & Gas,4/18/2019,14.5,$18.00,$19.92,$21.46,19.22%
Greenlane Holdings,GNLN,Consumer Goods,4/18/2019,6,$17.00,$21.10,$9.59,-43.59%
HOOKIPA Pharma,HOOK,Health Care,4/18/2019,6,$14.00,$14.00,$6.73,-51.93%
Pinterest,PINS,Technology,4/18/2019,75,$19.00,$24.40,$27.22,43.26%
Zoom Video Communications,ZM,Technology,4/18/2019,20.9,$36.00,$62.00,$88.79,146.64%
Turning Point Therapeutics,TPTX,Health Care,4/17/2019,9.3,$18.00,$28.90,$40.70,126.11%
Jumia,JMIA,Consumer Goods,4/12/2019,13.5,$14.50,$25.46,$26.42,82.21%
PagerDuty,PD,Technology,4/11/2019,9.1,$24.00,$38.25,$47.05,96.04%
Tufin Software Technologies Ltd.,TUFN,Technology,4/11/2019,7.7,$14.00,$19.10,$25.89,84.93%
Guardion Health Sciences,GHSI,Health Care,4/5/2019,1.5,$4.00,$3.68,$1.26,-68.50%
Silk Road Medical,SILK,Health Care,4/4/2019,6,$20.00,$36.18,$48.46,142.30%
