Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
Hennessy Capital Investment Corp. VI,HCVIU,Blank Check,9/29/2021,30,$10.00,$0.00,$10.07,0.70%
MELI Kaszek Pioneer Corp.,MEKA,Blank Check,9/29/2021,25,$10.00,$0.00,$10.20,2.00%
Warby Parker Inc.,WRBY,Consumer Goods,9/29/2021,77.7,$40.00,$54.49,$23.29,-41.78%
"Amplitude, Inc.",AMPL,Technology,9/28/2021,35.4,$50.00,$54.80,$17.46,-65.08%
"Clearwater Analytics Holdings, Inc.",CWAN,Technology,9/24/2021,30,$18.00,$25.37,$17.86,-0.78%
Cue Health Inc.,HLTH,Health Care,9/24/2021,12.5,$16.00,$20.00,$6.40,-60.00%
Argo Blockchain Plc,ARBK,Technology,9/23/2021,7.5,$15.00,$16.75,$8.29,-44.73%
"Brilliant Earth Group, Inc.",BRLT,Industrials,9/23/2021,8.3,$12.00,$17.12,$7.08,-41.00%
"ENGAGESMART, INC.",ESMT,Technology,9/23/2021,14.6,$26.00,$34.12,$20.88,-19.69%
"Remitly Global, Inc.",RELY,Technology,9/23/2021,12.2,$43.00,$48.45,$11.10,-74.19%
"Sovos Brands, Inc.",SOVO,Industrials,9/23/2021,23.3,$12.00,$13.52,$14.64,22.00%
Sterling Check Corp.,STER,Technology,9/23/2021,14.3,$23.00,$26.90,$25.98,12.96%
Thorne HealthTech,THRN,Consumer Goods,9/23/2021,7,$10.00,$7.55,$6.70,-33.00%
a.k.a. Brands Holding Corp.,AKA,Consumer Goods,9/22/2021,10,$11.00,$9.99,$3.53,-67.91%
Freshworks,FRSH,Technology,9/22/2021,28.5,$36.00,$47.55,$18.94,-47.39%
"Toast, Inc.",TOST,Technology,9/22/2021,21.7,$40.00,$62.51,$20.59,-48.53%
VersaBank,VBNK,Financials,9/22/2021,5.5,$10.00,$10.50,$10.22,2.20%
"Enact Holdings, Inc. (formerly Genworth Mortgage Holdings, Inc.)",ACT,Financials,9/16/2021,13.3,$19.00,$20.49,$23.66,24.53%
"ForgeRock, Inc.",FORG,Technology,9/16/2021,11,$25.00,$36.50,$20.54,-17.84%
Aesther Healthcare Acquisition Corp.,AEHAU,Blank Check,9/15/2021,10,$10.00,$10.06,$10.25,2.50%
Definitive Healthcare Corp.,DH,Technology,9/15/2021,15.6,$27.00,$43.29,$24.35,-9.81%
"DICE Therapeutics, Inc.",DICE,Health Care,9/15/2021,12,$17.00,$36.89,$20.32,19.53%
Dutch Bros Inc.,BROS,Consumer Goods,9/15/2021,21.1,$23.00,$36.68,$47.77,107.70%
"EzFill Holdings, Inc.",EZFL,Consumer Services,9/15/2021,6.3,$4.00,$4.54,$0.65,-83.75%
On Holding AG,ONON,Industrials,9/15/2021,31.1,$24.00,$35.00,$24.97,4.04%
PROCEPT BioRobotics,PRCT,Health Care,9/15/2021,6.6,$25.00,$41.94,$35.56,42.24%
Thoughtworks Holding Inc. (Turing Holding),TWKS,Technology,9/15/2021,36.8,$21.00,$29.39,$18.51,-11.86%
Tyra Biosciences,TYRA,Health Care,9/15/2021,10.8,$16.00,$26.00,$7.47,-53.31%
Sportradar Group AG,SRAD,Technology,9/14/2021,19,$27.00,$25.05,$12.73,-52.85%
DoubleDown Interactive,DDI,Technology,8/31/2021,6.3,$18.00,$17.75,$11.03,-38.72%
Focus Universal Inc.,FCUV,Technology,8/31/2021,2,$5.00,$5.10,$14.37,187.40%
"Biotricity, Inc.",BTCY,Health Care,8/26/2021,5,$3.00,$2.91,$1.47,-51.00%
authID.ai (IPSIDY INC.),AUID,Technology,8/24/2021,1.4,$7.00,$7.40,$3.14,-55.14%
"Southern States Bancshares, Inc.",SSBK,Financials,8/12/2021,2,$19.00,$19.77,$22.95,20.79%
Eliem Therapeutics,ELYM,Health Care,8/10/2021,6.4,$12.50,$15.90,$3.16,-74.72%
Adagio Therapeutics,ADGI,Health Care,8/6/2021,18.2,$17.00,$20.88,$2.86,-83.18%
"European Wax Center, Inc.",EWCZ,Consumer Services,8/5/2021,10.6,$17.00,$21.39,$27.06,59.18%
Orange County Bancorp,OBT,Financials,8/5/2021,1,$33.50,$34.10,$39.45,17.76%
Weber Inc.,WEBR,Industrials,8/5/2021,17.9,$14.00,$16.50,$8.78,-37.29%
Dole plc,DOLE,Consumer Goods,7/30/2021,25,$16.00,$14.50,$11.91,-25.56%
Immuneering Corp.,IMRX,Health Care,7/30/2021,7.5,$15.00,$17.59,$5.35,-64.33%
"IN8bio, INC.",INAB,Health Care,7/30/2021,4,$10.00,$10.00,$2.40,-76.00%
Omega Therapeutics,OMGA,Health Care,7/30/2021,7.4,$17.00,$16.00,$3.41,-79.94%
Rani Therapeutics Holdings,RANI,Health Care,7/30/2021,6.7,$11.00,$11.00,$12.23,11.18%
RxSight,RXST,Health Care,7/30/2021,7.4,$16.00,$16.00,$11.69,-26.94%
"Tenaya Therapeutics, Inc.",TNYA,Health Care,7/30/2021,12,$15.00,$15.35,$9.22,-38.53%
"Icosavax, Inc.",ICVX,Health Care,7/29/2021,12.1,$15.00,$34.97,$7.25,-51.67%
Metals Acquisition Corp,MTAL.U,Blank Check,7/29/2021,25,$10.00,$9.83,$9.83,-1.70%
"Nuvalent, Inc.",NUVL,Health Care,7/29/2021,9.8,$17.00,$18.75,$10.29,-39.47%
Rallybio Corp.,RLYB,Health Care,7/29/2021,6.2,$13.00,$14.10,$9.73,-25.15%
Riskified Ltd.,RSKD,Technology,7/29/2021,17.5,$21.00,$26.00,$5.23,-75.10%
Software Acquisition Group Inc. III,SWAGU,Blank Check,7/29/2021,20,$10.00,$10.00,$10.26,2.60%
Traeger Inc. (TGPX Holdings I LLC),COOK,Industrials,7/29/2021,23.5,$18.00,$22.00,$6.23,-65.39%
DA32 Life Science Tech Acquisition,DALS,Blank Check,7/28/2021,20,$10.00,$9.84,$9.80,-2.00%
"Duolingo, Inc.",DUOL,Technology,7/28/2021,5.1,$102.00,$139.01,$87.96,-13.76%
"MeridianLink, Inc.",MLNK,Technology,7/28/2021,13.2,$26.00,$24.60,$16.15,-37.88%
"PowerSchool Holdings, Inc.",PWSC,Technology,7/28/2021,39.5,$18.00,$18.00,$15.06,-16.33%
