Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
SNOW LAKE RESOURCES LTD.,LITM,Basic Materials,11/19/2021,3.2,$7.50,$13.00,$5.38,-28.27%
"Sweetgreen, Inc.",SG,Consumer Services,11/18/2021,13,$28.00,$49.50,$28.02,0.07%
"Braze, Inc.",BRZE,Technology,11/17/2021,8,$65.00,$93.39,$41.84,-35.63%
Iris Energy Limited,IREN,Financials,11/17/2021,8.3,$28.00,$24.45,$10.67,-61.89%
SONO GROUP N.V.,SEV,Industrials,11/17/2021,10,$15.00,$38.20,$6.04,-59.73%
"USERTESTING, INC.",USER,Technology,11/17/2021,10,$14.00,$14.01,$8.06,-42.43%
ENERGEM CORP.,ENCPU,Blank Check,11/16/2021,10,$10.00,$10.12,$10.12,1.20%
Journey Medical Corp.,DERM,Health Care,11/12/2021,3.5,$10.00,$0.00,$4.34,-56.60%
Mynaric AG,MYNA,Technology,11/12/2021,4,$16.50,$0.00,$10.30,-37.58%
"BACKBLAZE, INC.",BLZE,Technology,11/11/2021,6.3,$16.00,$19.90,$10.04,-37.25%
Kidpik Corp.,PIK,Consumer Goods,11/11/2021,2.1,$8.50,$8.50,$2.11,-75.18%
"Lulu’s Fashion Lounge Holdings, Inc.",LVLU,Consumer Goods,11/11/2021,5.8,$16.00,$13.06,$9.39,-41.31%
"TIVIC HEALTH SYSTEMS, INC.",TIVC,Health Care,11/11/2021,3,$5.00,$5.19,$1.45,-71.00%
"Vaxxinity, Inc.",VAXX,Health Care,11/11/2021,6,$13.00,$16.55,$3.20,-75.38%
"WEAVE COMMUNICATIONS, INC.",WEAV,Technology,11/11/2021,5,$24.00,$18.79,$4.91,-79.54%
"Winc, Inc.",WBEV,Consumer Goods,11/11/2021,1.5,$13.00,$12.27,$4.14,-68.15%
CI&T Inc.,CINT,Other,11/10/2021,13,$15.00,$18.44,$16.18,7.87%
Expensify,EXFY,Technology,11/10/2021,9.7,$27.00,$41.06,$16.10,-40.37%
"Rivian Automotive, Inc.",RIVN,Industrials,11/10/2021,153,$78.00,$100.73,$33.61,-56.91%
"HERTZ GLOBAL HOLDINGS, INC.",HTZ,Consumer Services,11/9/2021,44.5,$29.00,$26.17,$22.55,-22.24%
Society Pass Inc.,SOPA,Technology,11/9/2021,2.9,$9.00,$48.30,$2.20,-75.56%
"THIRD COAST BANCSHARES, INC.",TCBX,Financials,11/9/2021,3.5,$25.00,$25.01,$22.54,-9.84%
Cian PLC,CIAN,Technology,11/5/2021,18.2,$16.00,$17.62,$3.40,-78.75%
"IO Biotech, Inc.",IOBT,Health Care,11/5/2021,7.2,$14.00,$15.65,$8.38,-40.14%
MAINZ BIOMED B.V.,MYNZ,Health Care,11/5/2021,2,$5.00,$9.99,$12.85,157.00%
"The Real Good Food Company, Inc.",RGF,Consumer Goods,11/5/2021,5.3,$12.00,$11.00,$7.17,-40.25%
"Arhaus, Inc.",ARHS,Consumer Goods,11/4/2021,12.9,$13.00,$12.80,$7.19,-44.69%
Cadre Holdings,CDRE,Industrials,11/4/2021,6,$13.00,$15.29,$24.26,86.62%
Evotec SE,EVO,Health Care,11/4/2021,20,$21.75,$22.00,$13.72,-36.92%
MDxHEALTH SA,MDXH,Health Care,11/4/2021,3.8,$12.00,$12.00,$7.82,-34.83%
NerdWallet,NRDS,Technology,11/4/2021,7.3,$18.00,$28.30,$9.34,-48.11%
"Allbirds, Inc.",BIRD,Industrials,11/3/2021,20.2,$15.00,$28.89,$5.13,-65.80%
"Claros Mortgage Trust, Inc.",CMTG,Financials,11/3/2021,5.5,$18.65,$17.00,$19.09,2.36%
LianBio,LIAN,Health Care,11/1/2021,20.3,$16.00,$13.70,$5.04,-68.50%
